Date,Open,High,Low,Close,Volume
28-Jul-17,32.82,33.24,32.31,32.60,1679180
27-Jul-17,32.94,33.59,32.71,32.91,2105681
26-Jul-17,33.00,33.28,32.30,32.70,1657259
25-Jul-17,32.53,34.02,32.53,32.95,2942092
24-Jul-17,32.24,32.80,31.75,32.43,2334998
21-Jul-17,32.59,32.60,31.39,32.36,2355832
20-Jul-17,32.70,32.89,31.62,32.60,2354922
19-Jul-17,31.41,32.86,31.39,32.63,3355765
18-Jul-17,31.38,31.92,31.03,31.40,2087811
17-Jul-17,31.89,32.30,31.19,31.46,2844071
14-Jul-17,31.46,32.14,30.69,31.89,3866183
13-Jul-17,29.56,31.85,29.48,31.55,6917874
12-Jul-17,28.45,29.62,28.26,29.58,3887794
11-Jul-17,28.73,29.10,27.82,28.20,3907038
10-Jul-17,28.68,29.00,27.75,28.61,4414838
7-Jul-17,27.32,28.68,27.15,28.61,4409901
6-Jul-17,27.73,27.82,27.10,27.19,2147894
5-Jul-17,27.90,28.25,27.30,27.84,2691076
3-Jul-17,27.50,28.15,27.21,27.72,2472629
30-Jun-17,26.62,27.57,26.49,27.27,3922690
29-Jun-17,26.21,27.09,25.99,26.45,3093565
28-Jun-17,25.67,26.24,25.65,25.99,3090313
27-Jun-17,27.59,27.99,25.13,25.46,9433611
26-Jun-17,24.37,29.32,24.34,27.67,18635023
23-Jun-17,22.97,24.29,22.72,24.24,10320027
22-Jun-17,21.88,23.23,21.80,23.01,3447596
21-Jun-17,21.98,22.03,21.38,21.90,4241866
20-Jun-17,22.55,22.59,21.40,21.62,2019106
19-Jun-17,22.01,22.81,21.71,22.56,1981712
16-Jun-17,23.17,23.58,21.58,21.86,3634180
15-Jun-17,24.08,24.78,23.05,23.19,2413030
14-Jun-17,23.40,24.48,23.01,24.40,4057670
13-Jun-17,22.47,24.76,21.49,23.06,6684500
12-Jun-17,21.63,23.56,21.63,22.31,4070668
9-Jun-17,21.78,21.97,20.71,21.60,3142756
8-Jun-17,21.76,22.16,21.51,21.71,1807990
7-Jun-17,21.73,22.33,21.38,21.78,2743287
6-Jun-17,21.31,21.70,20.71,21.63,2970066
5-Jun-17,22.90,23.03,21.42,21.44,2773714
2-Jun-17,23.11,23.23,22.03,22.90,2712173
1-Jun-17,23.00,23.47,22.36,23.00,2869102
31-May-17,22.66,23.25,22.28,22.89,2566450
30-May-17,21.97,22.71,21.81,22.36,1923044
26-May-17,22.32,22.32,21.42,22.05,3215444
25-May-17,22.50,22.62,21.78,22.38,1887310
24-May-17,22.42,22.51,21.94,22.33,2092970
23-May-17,23.75,23.84,22.16,22.38,3917264
22-May-17,22.53,24.22,22.48,23.65,4549939
19-May-17,21.69,22.77,21.37,22.38,3324879
18-May-17,22.11,22.28,21.50,21.54,4071457
17-May-17,23.33,23.43,21.71,22.11,5825578
16-May-17,23.86,24.11,22.94,23.77,4240701
15-May-17,24.36,24.89,23.55,23.74,4856692
12-May-17,25.42,25.52,24.96,25.03,2916367
11-May-17,26.15,26.22,24.75,25.45,6771408
10-May-17,27.25,27.84,26.37,26.42,2721270
9-May-17,26.59,27.57,25.44,27.37,3916521
8-May-17,29.06,29.47,26.93,27.40,4692576
5-May-17,29.82,29.99,29.38,29.62,1851010
4-May-17,30.01,31.23,28.47,29.77,5720805
3-May-17,31.31,31.66,30.55,30.84,2903534
2-May-17,31.08,31.54,29.92,31.49,2374207
1-May-17,30.53,31.15,30.36,30.95,1620985
28-Apr-17,32.29,32.52,30.25,30.50,3947542
27-Apr-17,31.85,32.46,31.79,32.29,2513127
26-Apr-17,30.68,31.80,30.53,31.70,2237670
25-Apr-17,30.43,31.23,30.43,30.84,1703388
24-Apr-17,29.94,30.90,29.91,30.52,2473096
21-Apr-17,29.58,29.76,29.24,29.38,1771393
20-Apr-17,29.46,29.96,28.93,29.51,3250724
19-Apr-17,28.72,29.64,28.65,29.33,3121718
18-Apr-17,28.44,28.78,27.92,28.69,1939287
17-Apr-17,27.75,28.76,27.63,28.57,2296814
13-Apr-17,27.83,28.27,27.64,27.76,1267940
12-Apr-17,28.43,28.55,27.75,27.88,1437290
11-Apr-17,28.38,28.77,28.07,28.55,2514364
10-Apr-17,27.60,29.06,27.31,28.44,2543309
7-Apr-17,27.64,28.43,27.36,27.49,3877467
6-Apr-17,27.13,27.71,26.51,27.66,2811921
5-Apr-17,27.91,28.37,27.03,27.10,2645295
4-Apr-17,28.00,28.09,27.38,27.92,1924433
3-Apr-17,29.53,29.76,27.87,27.96,3079554
31-Mar-17,29.38,29.88,29.30,29.58,1909079
30-Mar-17,29.07,29.72,29.07,29.42,1547934
29-Mar-17,28.27,29.20,28.24,29.11,2021106
28-Mar-17,28.16,28.94,28.03,28.59,2720788
27-Mar-17,27.71,28.44,27.36,28.23,3343473
24-Mar-17,28.56,28.90,28.10,28.47,2458425
23-Mar-17,29.26,29.50,28.44,28.56,1891223
22-Mar-17,29.50,29.93,29.12,29.32,2986613
21-Mar-17,32.28,32.28,28.99,29.55,5569331
20-Mar-17,32.72,32.75,31.77,32.03,1807031
17-Mar-17,34.02,34.28,32.68,32.70,2588029
16-Mar-17,34.08,34.61,33.95,34.26,1312866
15-Mar-17,32.82,34.20,32.82,33.96,1563128
14-Mar-17,32.74,32.75,32.06,32.50,1263164
13-Mar-17,33.07,33.37,32.80,32.83,917060
10-Mar-17,32.38,33.22,32.34,33.04,2012744
9-Mar-17,32.50,32.72,32.15,32.36,2390483
8-Mar-17,32.20,32.66,32.09,32.30,2180267
7-Mar-17,32.57,32.71,32.09,32.09,1887593
6-Mar-17,34.05,34.20,32.11,32.41,2812156
3-Mar-17,34.26,34.61,33.59,34.47,1355665
2-Mar-17,34.33,34.74,33.98,34.18,1072668
1-Mar-17,35.04,35.76,34.33,34.41,1905845
28-Feb-17,33.10,34.87,32.65,34.58,2902453
27-Feb-17,32.46,33.26,32.00,33.23,1645912
24-Feb-17,33.03,33.33,32.33,32.46,1974029
23-Feb-17,34.35,34.42,33.33,33.40,1630903
22-Feb-17,34.43,34.69,34.02,34.33,1496496
21-Feb-17,33.70,34.60,33.51,34.52,2852719
17-Feb-17,35.07,35.33,33.51,33.76,6249737
16-Feb-17,36.50,36.74,34.90,35.76,10644137
15-Feb-17,38.35,41.00,38.35,40.66,4557119
14-Feb-17,37.36,38.44,37.16,38.42,1392034
13-Feb-17,37.79,38.07,37.22,37.56,1812763
10-Feb-17,37.55,38.17,37.40,37.63,1453815
9-Feb-17,36.89,37.47,36.39,37.41,1815390
8-Feb-17,36.88,37.55,36.55,36.73,1382347
7-Feb-17,36.98,37.33,36.54,37.03,1126687
6-Feb-17,37.50,37.96,36.70,36.84,1381045
3-Feb-17,37.69,37.85,37.37,37.70,1729676
2-Feb-17,37.78,37.92,37.28,37.30,1271497
1-Feb-17,37.74,38.44,37.40,37.80,1601854
31-Jan-17,37.82,38.29,36.97,37.22,2011173
30-Jan-17,38.78,39.16,37.25,38.28,1929171
27-Jan-17,38.72,39.29,38.45,39.25,945636
26-Jan-17,39.07,39.32,38.29,38.61,1016539
25-Jan-17,37.94,39.45,37.78,39.01,2051226
24-Jan-17,36.95,37.89,36.88,37.53,1453726
23-Jan-17,36.00,36.83,35.55,36.67,1267601
20-Jan-17,36.05,36.44,35.49,36.09,1863658
19-Jan-17,37.53,37.53,36.08,36.08,1198852
18-Jan-17,36.39,37.45,36.01,37.41,1063764
17-Jan-17,36.40,36.89,36.05,36.30,1192663
13-Jan-17,36.22,37.01,36.21,36.48,658858
12-Jan-17,36.78,37.07,35.02,36.13,1607572
11-Jan-17,35.99,37.10,35.51,37.02,1452409
10-Jan-17,35.21,35.93,35.04,35.88,1063535
9-Jan-17,36.36,36.37,34.91,35.21,1193028
6-Jan-17,36.01,36.56,35.61,36.39,909195
5-Jan-17,37.02,37.42,35.73,35.95,1506809
4-Jan-17,37.55,37.93,36.74,37.38,1478507
3-Jan-17,37.32,37.93,36.47,37.47,1089579
30-Dec-16,37.26,37.74,36.37,36.68,1038345
29-Dec-16,36.97,37.75,36.72,37.20,871932
28-Dec-16,37.67,38.04,36.39,36.79,2736057
27-Dec-16,38.27,38.82,37.53,37.61,1574145
23-Dec-16,37.41,38.26,37.32,38.20,1215153
22-Dec-16,38.86,39.30,37.22,37.30,1352858
21-Dec-16,39.63,40.23,38.92,38.94,1613128
20-Dec-16,38.68,39.52,38.37,39.48,1899492
19-Dec-16,38.26,39.00,37.92,38.43,924914
16-Dec-16,37.24,38.43,37.07,38.33,3279575
15-Dec-16,36.23,37.23,36.17,37.16,1041205
14-Dec-16,37.70,38.01,36.00,36.12,2292238
13-Dec-16,37.79,38.07,36.69,37.83,2229607
12-Dec-16,39.88,40.28,37.47,37.57,1866313
9-Dec-16,40.74,40.77,40.05,40.46,742248
8-Dec-16,41.09,41.33,40.32,40.52,1251870
7-Dec-16,40.71,41.53,40.15,41.03,1263416
6-Dec-16,39.02,40.95,38.87,40.70,2458876
5-Dec-16,38.90,39.50,38.43,39.16,890162
2-Dec-16,38.73,39.05,38.26,38.46,1060442
1-Dec-16,38.48,39.45,38.09,38.83,1725384
30-Nov-16,38.59,38.88,37.90,38.29,1492103
29-Nov-16,38.70,39.30,38.24,38.34,1403844
28-Nov-16,39.58,39.88,38.45,38.86,1443472
25-Nov-16,39.82,40.00,39.49,39.75,479331
23-Nov-16,39.66,40.15,39.45,39.71,1423332
22-Nov-16,39.04,39.71,38.84,39.65,870385
21-Nov-16,38.78,39.22,38.47,38.89,1761081
18-Nov-16,38.87,39.13,38.01,38.48,1002267
17-Nov-16,38.86,39.11,38.01,38.77,1400050
16-Nov-16,40.18,40.25,38.46,38.77,1655686
15-Nov-16,39.00,40.00,38.05,39.98,2321496
14-Nov-16,38.62,39.65,37.66,39.02,2450662
11-Nov-16,37.64,38.62,37.51,38.04,2611000
10-Nov-16,36.37,38.11,36.06,37.90,2963850
9-Nov-16,34.65,36.15,34.19,35.93,2951426
8-Nov-16,34.84,36.08,31.88,35.30,10334524
7-Nov-16,38.56,40.02,38.17,39.00,3849718
4-Nov-16,36.41,38.45,35.92,37.73,3216946
3-Nov-16,32.85,37.20,32.85,36.49,5719360
2-Nov-16,32.29,33.03,31.75,32.35,3759790
1-Nov-16,32.63,32.96,31.93,32.49,1864512
31-Oct-16,32.45,33.46,32.32,32.36,1840330
28-Oct-16,31.91,33.02,31.80,32.40,1091163
27-Oct-16,32.61,32.61,31.62,31.88,1327242
26-Oct-16,31.68,32.79,31.50,32.41,1067967
25-Oct-16,32.16,32.76,31.92,31.97,976285
24-Oct-16,31.45,32.39,31.30,32.19,1148449
21-Oct-16,31.34,31.83,30.60,31.38,1120434
20-Oct-16,32.12,32.65,31.59,31.73,1090794
19-Oct-16,32.13,32.53,31.90,32.17,966640
18-Oct-16,31.87,32.19,31.51,32.05,1083833
17-Oct-16,31.19,31.92,30.99,31.53,1246894
14-Oct-16,31.77,32.28,31.11,31.25,1365076
13-Oct-16,31.86,31.86,30.88,31.56,2145967
12-Oct-16,32.67,33.07,31.95,32.27,1712293
11-Oct-16,33.59,33.70,32.31,32.63,1657052
10-Oct-16,32.62,33.94,32.51,33.90,1813044
7-Oct-16,33.57,33.70,32.30,32.56,2057315
6-Oct-16,33.91,34.04,33.37,33.70,870220
5-Oct-16,33.47,34.50,33.28,33.99,1697545
4-Oct-16,33.87,34.32,33.06,33.20,1619649
3-Oct-16,33.98,34.41,33.52,33.78,1546997
30-Sep-16,34.01,34.79,33.55,34.21,2219221
29-Sep-16,34.58,34.91,33.47,33.73,2051665
28-Sep-16,36.12,36.20,34.10,34.82,3828999
27-Sep-16,38.95,39.54,35.41,35.77,7187372
26-Sep-16,37.26,38.97,37.14,38.93,2566211
23-Sep-16,38.24,38.59,37.38,37.49,1841883
22-Sep-16,38.43,38.86,38.10,38.44,2403080
21-Sep-16,37.12,38.29,37.05,38.18,1874774
20-Sep-16,37.69,37.69,36.74,37.01,2941407
19-Sep-16,37.78,38.28,37.35,37.54,3936014
16-Sep-16,36.88,38.00,36.40,37.68,20592658
15-Sep-16,34.37,35.35,34.37,35.08,1043648
14-Sep-16,33.70,34.47,32.87,34.40,1597931
13-Sep-16,35.44,36.13,33.66,33.70,1821903
12-Sep-16,35.70,36.34,35.12,35.95,2220301
9-Sep-16,37.73,38.04,36.14,36.17,1424944
8-Sep-16,37.90,38.32,37.41,38.22,848670
7-Sep-16,36.01,38.00,36.01,38.00,1517570
6-Sep-16,35.95,36.20,35.39,35.96,1119469
2-Sep-16,36.37,36.60,35.73,35.89,685873
1-Sep-16,36.18,37.07,35.65,36.07,1228435
31-Aug-16,35.79,36.31,35.06,36.13,1062303
30-Aug-16,36.38,36.93,35.72,35.93,653100
29-Aug-16,35.76,36.49,35.76,36.31,685595
26-Aug-16,35.71,36.44,35.34,35.65,1506362
25-Aug-16,36.19,36.49,35.31,35.42,1186446
24-Aug-16,36.93,37.32,35.90,36.00,1091604
23-Aug-16,37.26,37.92,37.02,37.13,687060
22-Aug-16,36.76,37.28,36.29,37.05,1745977
19-Aug-16,36.92,37.07,36.45,37.04,1149616
18-Aug-16,36.32,37.59,36.32,37.13,2781697
17-Aug-16,36.38,36.59,35.82,36.42,1664004
16-Aug-16,36.94,37.13,36.41,36.50,1661587
15-Aug-16,36.66,37.62,36.62,37.08,2767620
12-Aug-16,36.84,37.03,36.30,36.38,1865083
11-Aug-16,38.00,38.45,36.95,36.98,2099866
10-Aug-16,38.47,38.64,37.74,37.81,1156732
9-Aug-16,38.51,38.75,37.15,38.34,2428014
8-Aug-16,38.39,39.19,38.36,38.78,2219401
5-Aug-16,38.51,38.92,38.00,38.36,3153465
4-Aug-16,37.01,38.50,36.65,38.08,2337092
3-Aug-16,36.92,37.49,35.80,36.89,4339468
2-Aug-16,35.80,36.13,33.93,34.76,4060291
1-Aug-16,36.72,36.72,35.95,36.00,2216102
