Date,Open,High,Low,Close,Adj Close,Volume
2016-01-04,41.060001,41.189999,40.340000,40.689999,39.800751,3287300
2016-01-05,40.730000,40.950001,40.340000,40.549999,39.663815,2587200
2016-01-06,40.240002,40.990002,40.049999,40.730000,39.839878,2103600
2016-01-07,40.139999,40.150002,38.810001,39.000000,38.147682,3504300
2016-01-08,39.220001,39.709999,38.470001,38.590000,37.746651,3736700
2016-01-11,38.709999,38.900002,37.410000,37.939999,37.110851,2818400
2016-01-12,38.430000,38.580002,37.650002,38.189999,37.355389,1989400
2016-01-13,38.349998,38.470001,36.720001,36.860001,36.054455,4206600
2016-01-14,36.939999,37.880001,36.549999,37.610001,36.788067,2893300
2016-01-15,36.669998,37.560001,36.549999,37.110001,36.298992,2994400
2016-01-19,37.639999,37.919998,36.790001,37.200001,36.387028,2506500
2016-01-20,36.680000,37.610001,36.130001,37.259998,36.445713,2469100
2016-01-21,37.349998,37.830002,36.810001,37.230000,36.416370,2298400
2016-01-22,37.910000,38.180000,37.580002,37.980000,37.149979,1834500
2016-01-25,37.400002,38.029999,37.400002,37.610001,36.788067,1831200
2016-01-26,37.889999,37.959999,37.360001,37.509998,36.690250,1754900
2016-01-27,37.389999,37.919998,36.810001,37.049999,36.240303,1479400
2016-01-28,37.270000,37.270000,36.009998,36.110001,35.320847,3479400
2016-01-29,36.439999,37.689999,36.310001,37.650002,36.827194,2959900
2016-02-01,37.369999,37.950001,37.000000,37.689999,36.866314,2666200
2016-02-02,37.180000,37.549999,36.950001,37.070000,36.259869,1742300
2016-02-03,37.270000,37.360001,36.290001,37.189999,36.377239,2128100
2016-02-04,37.150002,37.790001,36.970001,37.419998,36.602222,2811500
2016-02-05,37.259998,37.310001,35.830002,36.040001,35.252380,4424600
2016-02-08,35.610001,35.779999,34.389999,34.799999,34.039478,3888600
2016-02-09,34.209999,35.770000,34.150002,35.369999,34.597023,3191800
2016-02-10,35.630001,36.730000,35.529999,35.849998,35.066525,3170000
2016-02-11,35.119999,35.610001,34.939999,35.330002,34.557896,3224000
2016-02-12,35.840000,36.230000,35.520000,36.220001,35.428444,3923600
2016-02-16,36.720001,37.169998,36.400002,37.080002,36.269650,2903600
2016-02-17,35.220001,38.130001,34.750000,37.869999,37.042385,5382300
2016-02-18,37.730000,37.959999,37.090000,37.189999,36.377239,2231500
2016-02-19,36.980000,37.599998,36.849998,37.439999,36.621784,2339400
2016-02-22,37.880001,38.189999,37.779999,38.029999,37.198887,1792500
2016-02-23,37.639999,37.959999,36.950001,37.169998,36.357674,1282300
2016-02-24,36.650002,37.500000,36.470001,37.480000,36.660904,1454900
2016-02-25,37.619999,37.709999,36.959999,37.630001,36.807629,1453500
2016-02-26,37.750000,37.919998,37.439999,37.590000,36.768505,944200
2016-02-29,37.590000,37.700001,37.330002,37.349998,36.533745,2187500
2016-03-01,37.630001,38.660000,37.610001,38.590000,37.746651,2759500
2016-03-02,38.490002,39.270000,38.410000,39.040001,38.186813,3612300
2016-03-03,38.919998,39.230000,38.740002,39.200001,38.343323,906100
2016-03-04,39.139999,39.580002,39.029999,39.340000,38.480255,1125000
2016-03-07,39.040001,39.680000,38.959999,39.430000,38.568291,1221600
2016-03-08,38.970001,39.130001,38.009998,38.090000,37.257580,1801500
2016-03-09,38.310001,38.400002,37.959999,38.130001,37.296711,1614600
2016-03-10,38.169998,38.509998,37.619999,37.980000,37.149979,1615000
2016-03-11,38.430000,39.270000,38.320000,39.230000,38.372662,1517300
2016-03-14,38.980000,39.169998,38.410000,39.020000,38.167248,929600
2016-03-15,38.590000,38.709999,38.080002,38.290001,37.453209,1059400
2016-03-16,38.090000,39.099998,38.020000,38.980000,38.128124,1956100
2016-03-17,39.060001,39.439999,38.590000,39.290001,38.431355,1895700
2016-03-18,39.330002,40.480000,39.270000,40.189999,39.311680,2504400
2016-03-21,40.070000,40.139999,39.639999,39.650002,38.783485,2172600
2016-03-22,39.560001,40.040001,39.450001,39.880001,39.008461,1552300
2016-03-23,39.900002,39.990002,39.369999,39.470001,38.607414,1554800
2016-03-24,39.160000,39.450001,38.889999,39.430000,38.568291,993500
2016-03-28,39.540001,39.750000,39.139999,39.520000,38.656326,1272700
2016-03-29,39.349998,40.220001,39.110001,40.160000,39.282337,1079800
2016-03-30,40.360001,40.580002,39.889999,40.119999,39.243206,783400
2016-03-31,40.009998,40.099998,39.660000,39.849998,38.979107,3143500
2016-04-01,39.560001,40.380001,39.500000,40.310001,39.543171,2857800
2016-04-04,40.320000,40.520000,39.799999,40.009998,39.248882,2958100
2016-04-05,39.730000,39.889999,39.189999,39.259998,38.513153,1900700
2016-04-06,39.290001,40.250000,39.169998,40.240002,39.474510,1566600
2016-04-07,39.889999,40.099998,39.250000,39.470001,38.719158,1373800
2016-04-08,39.689999,39.970001,39.400002,39.540001,38.787819,1106300
2016-04-11,39.860001,40.000000,39.349998,39.410000,38.660290,1049300
2016-04-12,39.470001,39.830002,39.340000,39.750000,38.993824,986600
2016-04-13,39.520000,41.000000,39.500000,40.689999,39.915939,2494600
2016-04-14,40.860001,41.080002,40.529999,40.779999,40.004230,1346800
2016-04-15,40.770000,40.950001,40.630001,40.910000,40.131763,1442300
2016-04-18,40.720001,41.450001,40.610001,41.310001,40.524147,1536100
2016-04-19,41.180000,41.740002,41.130001,41.400002,40.612438,1640600
2016-04-20,41.419998,41.680000,41.299999,41.520000,40.730156,1243900
2016-04-21,41.500000,42.000000,41.419998,41.930000,41.132359,1670400
2016-04-22,41.980000,41.980000,41.549999,41.799999,41.004826,1396300
2016-04-25,41.709999,41.860001,41.529999,41.630001,40.838062,1500400
2016-04-26,41.820000,41.880001,41.259998,41.320000,40.533958,1869000
2016-04-27,41.349998,41.750000,41.040001,41.580002,40.789013,1189300
2016-04-28,41.250000,41.779999,41.060001,41.180000,40.396626,1549800
2016-04-29,40.919998,41.040001,40.259998,40.919998,40.141567,2027900
2016-05-02,41.200001,41.750000,41.130001,41.709999,40.916538,1285300
2016-05-03,41.320000,41.490002,40.910000,41.240002,40.455486,1334000
2016-05-04,40.810001,41.200001,40.389999,40.520000,39.749176,1603000
2016-05-05,40.639999,41.029999,40.509998,40.959999,40.180805,1084000
2016-05-06,40.860001,41.619999,40.720001,41.430000,40.641876,1403500
2016-05-09,41.509998,41.779999,41.290001,41.330002,40.543770,1741500
2016-05-10,41.500000,42.000000,41.349998,42.000000,41.201023,2094300
2016-05-11,42.189999,43.200001,42.119999,42.459999,41.652267,3329000
2016-05-12,42.590000,42.939999,42.419998,42.730000,41.917133,2504900
2016-05-13,42.549999,42.930000,42.389999,42.619999,41.809231,2430600
2016-05-16,42.610001,43.070000,42.500000,42.939999,42.123135,3979300
