Date,Open,High,Low,Close,Adj Close,Volume
2018-04-24,56.540001,57.560001,56.500000,57.200001,57.200001,1678500
2018-04-25,57.090000,57.750000,56.799999,57.209999,57.209999,1208000
2018-04-26,57.230000,57.959999,56.950001,57.869999,57.869999,857700

Date,Open,High,Low,Close,Adj Close,Volume
2018-04-26,57.230000,57.959999,56.950001,57.869999,57.869999,895900
2018-04-27,57.740002,58.720001,57.730000,58.599998,58.599998,1226500
2018-04-30,58.770000,58.950001,58.439999,58.619999,58.619999,1504500
2018-05-01,58.660000,58.840000,58.279999,58.330002,58.330002,1177900
2018-05-02,58.330002,58.680000,58.020000,58.380001,58.380001,874300
2018-05-03,58.279999,58.930000,57.650002,58.740002,58.740002,918400
2018-05-04,58.810001,59.180000,58.680000,58.900002,58.900002,808600
2018-05-07,58.880001,58.980000,58.439999,58.540001,58.540001,1053500
2018-05-08,58.250000,58.320000,56.750000,56.910000,56.910000,1751800
2018-05-09,57.759998,57.770000,56.080002,56.220001,56.220001,1818300
2018-05-10,56.680000,56.720001,56.070000,56.340000,56.340000,1540800
2018-05-11,56.430000,57.029999,56.320000,56.869999,56.869999,1664300

