Date,Open,High,Low,Close,Adj Close,Volume
2015-07-01,63.560001,64.029999,63.270000,63.889999,63.889999,1382900
2015-07-02,64.150002,64.260002,63.270000,63.419998,63.419998,829900
2015-07-06,62.700001,63.770000,62.610001,63.130001,63.130001,854000
2015-07-07,63.250000,63.400002,61.869999,62.849998,62.849998,1064900
2015-07-08,62.540001,62.610001,61.189999,61.349998,61.349998,644300
2015-07-09,62.049999,62.189999,61.490002,61.810001,61.810001,651200
2015-07-10,62.520000,62.540001,61.869999,62.209999,62.209999,456700
2015-07-13,63.639999,65.010002,63.590000,64.989998,64.989998,1151400
2015-07-14,65.089996,65.839996,64.910004,65.519997,65.519997,909700
2015-07-15,65.650002,65.820000,65.379997,65.669998,65.669998,707200
2015-07-16,65.879997,66.150002,65.690002,65.989998,65.989998,989000
2015-07-17,65.889999,66.230003,65.300003,66.199997,66.199997,637100
2015-07-20,66.199997,66.629997,65.650002,66.190002,66.190002,487900
2015-07-21,66.010002,66.150002,64.459999,64.720001,64.720001,1243700
2015-07-22,63.700001,63.730000,61.790001,62.880001,62.880001,2036000
2015-07-23,63.009998,63.980000,62.250000,62.410000,62.410000,1203900
2015-07-24,62.480000,62.490002,60.450001,60.520000,60.520000,931100
2015-07-27,60.099998,60.119999,59.040001,59.259998,59.259998,1223200
2015-07-28,59.919998,60.520000,59.200001,60.080002,60.080002,1224600
2015-07-29,60.299999,61.110001,60.220001,61.029999,61.029999,1076100
2015-07-30,60.860001,61.869999,60.580002,61.810001,61.810001,742400
2015-07-31,62.070000,62.889999,61.939999,62.340000,62.340000,810800
2015-08-03,62.209999,62.570000,60.959999,61.209999,61.209999,946400
2015-08-04,61.310001,62.000000,60.840000,61.119999,61.119999,784300
2015-08-05,61.570000,62.200001,61.470001,61.799999,61.799999,691200
2015-08-06,61.980000,61.980000,60.480000,60.830002,60.830002,909700
2015-08-07,60.830002,61.139999,60.110001,60.540001,60.540001,601300
2015-08-10,60.919998,61.650002,60.919998,61.270000,61.270000,550800
2015-08-11,61.270000,61.599998,60.020000,60.599998,60.599998,594400
2015-08-12,60.220001,60.639999,59.330002,60.439999,60.439999,573900
2015-08-13,60.360001,61.189999,60.130001,60.660000,60.660000,442200
2015-08-14,60.590000,60.820000,60.189999,60.610001,60.610001,421500
2015-08-17,60.410000,61.009998,59.119999,60.910000,60.910000,387800
2015-08-18,61.139999,62.860001,61.139999,62.540001,62.540001,1007900
2015-08-19,62.180000,62.520000,61.150002,61.880001,61.880001,766800
2015-08-20,61.110001,61.730000,60.750000,60.799999,60.799999,743700
2015-08-21,59.970001,60.310001,58.849998,58.889999,58.889999,1115400
2015-08-24,55.549999,59.700001,53.730000,57.799999,57.799999,1554900
2015-08-25,59.570000,60.450001,57.720001,57.750000,57.750000,1311500
2015-08-26,59.200001,59.500000,57.570000,59.200001,59.200001,1008200
2015-08-27,59.639999,60.910000,59.220001,60.299999,60.299999,1052600
2015-08-28,59.990002,60.810001,59.570000,60.520000,60.520000,592100
2015-08-31,60.290001,60.970001,59.250000,59.840000,59.840000,644600
2015-09-01,58.880001,59.290001,57.779999,58.080002,58.080002,1067500
2015-09-02,58.169998,58.849998,57.830002,58.509998,58.509998,1082600
2015-09-03,58.599998,58.959999,57.700001,57.910000,57.910000,1431200
2015-09-04,57.090000,57.959999,57.040001,57.349998,57.349998,761300
2015-09-08,58.119999,58.820000,57.869999,58.770000,58.770000,726100
2015-09-09,59.669998,59.990002,58.590000,58.709999,58.709999,578200
2015-09-10,58.590000,59.070000,58.349998,58.650002,58.650002,444400
2015-09-11,58.400002,58.820000,57.910000,58.709999,58.709999,460500
2015-09-14,58.889999,59.430000,58.290001,58.520000,58.520000,557400
2015-09-15,58.639999,59.080002,58.049999,58.880001,58.880001,758500
2015-09-16,58.849998,60.680000,58.820000,60.610001,60.610001,645500
2015-09-17,60.900002,62.220001,59.400002,61.150002,61.150002,714400
2015-09-18,60.529999,61.090000,60.020000,60.119999,60.119999,1256700
2015-09-21,60.360001,61.369999,60.000000,60.930000,60.930000,537400
2015-09-22,60.259998,60.360001,59.310001,59.820000,59.820000,571200
2015-09-23,59.759998,60.060001,59.119999,59.630001,59.630001,396800
2015-09-24,59.090000,59.230000,58.040001,58.549999,58.549999,828200
2015-09-25,58.970001,60.029999,58.950001,59.369999,59.369999,575500
2015-09-28,59.160000,59.349998,56.180000,56.230000,56.230000,1028900
2015-09-29,56.400002,57.080002,55.919998,56.650002,56.650002,637200
2015-09-30,57.430000,58.270000,57.230000,58.180000,58.180000,819400
2015-10-01,58.290001,58.590000,56.869999,57.830002,57.830002,1311100
2015-10-02,55.959999,59.540001,55.950001,59.490002,59.490002,1140500
2015-10-05,60.090000,60.860001,59.950001,60.810001,60.810001,539400
2015-10-06,60.680000,60.900002,59.220001,59.580002,59.580002,532200
2015-10-07,59.180000,60.060001,58.660000,59.639999,59.639999,813200
2015-10-08,59.639999,60.849998,59.630001,60.619999,60.619999,418200
2015-10-09,60.279999,61.310001,59.810001,60.970001,60.970001,760100
2015-10-12,60.980000,61.250000,60.259998,60.740002,60.740002,475600
2015-10-13,60.389999,61.000000,59.900002,59.970001,59.970001,532100
2015-10-14,60.270000,60.930000,59.549999,59.990002,59.990002,682300
2015-10-15,60.389999,61.669998,59.939999,61.369999,61.369999,684400
2015-10-16,61.419998,61.520000,60.639999,61.220001,61.220001,673800
2015-10-19,60.959999,62.480000,60.849998,62.200001,62.200001,852100
2015-10-20,62.110001,62.830002,62.090000,62.230000,62.230000,589000
2015-10-21,62.419998,62.630001,61.529999,61.669998,61.669998,548100
2015-10-22,63.090000,63.090000,61.490002,61.639999,61.639999,1293200
2015-10-23,62.040001,62.500000,61.020000,61.580002,61.580002,811600
2015-10-26,61.680000,61.900002,60.830002,61.830002,61.830002,1130800
2015-10-27,61.700001,62.189999,60.759998,61.000000,61.000000,1578700
2015-10-28,62.000000,62.869999,60.419998,62.450001,62.450001,1732700
2015-10-29,62.830002,63.139999,62.160000,62.400002,62.400002,989400
2015-10-30,62.549999,63.750000,62.139999,63.189999,63.189999,1046100
2015-11-02,63.380001,63.660000,62.930000,63.349998,63.349998,714900
2015-11-03,63.349998,63.980000,63.070000,63.950001,63.950001,786400
2015-11-04,63.950001,65.330002,63.500000,65.320000,65.320000,1263500
2015-11-05,65.269997,65.510002,64.349998,64.410004,64.410004,687100
2015-11-06,64.320000,64.589996,63.709999,64.000000,64.000000,962600
2015-11-09,63.970001,64.220001,62.700001,63.660000,63.660000,695300
2015-11-10,63.540001,64.250000,62.930000,64.180000,64.180000,724500
2015-11-11,64.459999,64.470001,63.209999,63.349998,63.349998,568700
2015-11-12,62.860001,63.709999,61.840000,62.060001,62.060001,917100
2015-11-13,61.840000,61.900002,59.689999,59.759998,59.759998,988900
2015-11-16,59.730000,61.470001,59.419998,61.439999,61.439999,946700
2015-11-17,61.430000,63.799999,61.430000,62.639999,62.639999,1236000
2015-11-18,62.540001,63.580002,62.389999,63.480000,63.480000,721600
2015-11-19,63.540001,63.810001,61.810001,63.040001,63.040001,615800
2015-11-20,63.410000,63.740002,63.090000,63.430000,63.430000,793600
2015-11-23,63.279999,63.650002,62.759998,63.070000,63.070000,541100
2015-11-24,62.549999,63.660000,62.549999,63.500000,63.500000,487700
2015-11-25,63.619999,64.919998,62.250000,64.610001,64.610001,709200
2015-11-27,64.750000,64.930000,64.160004,64.330002,64.330002,184900
2015-11-30,64.300003,64.459999,63.740002,63.919998,63.919998,658600
2015-12-01,64.279999,64.709999,63.980000,64.480003,64.480003,581000
2015-12-02,64.360001,64.519997,63.750000,64.279999,64.279999,684900
2015-12-03,64.349998,64.540001,62.500000,62.930000,62.930000,748500
2015-12-04,63.160000,63.900002,62.930000,63.529999,63.529999,622200
2015-12-07,63.540001,63.540001,62.509998,63.169998,63.169998,705100
2015-12-08,62.410000,63.049999,62.060001,62.509998,62.509998,855700
2015-12-09,62.230000,64.089996,61.869999,63.020000,63.020000,1454000
2015-12-10,63.090000,64.070000,62.700001,62.790001,62.790001,478700
2015-12-11,62.000000,62.270000,61.160000,61.240002,61.240002,557500
2015-12-14,61.450001,61.730000,60.130001,61.110001,61.110001,961900
2015-12-15,61.520000,61.689999,60.680000,61.040001,61.040001,589800
2015-12-16,61.580002,61.610001,60.250000,61.470001,61.470001,899600
2015-12-17,61.619999,61.959999,59.740002,59.759998,59.759998,1968400
2015-12-18,58.540001,59.590000,57.889999,59.119999,59.119999,1916400
2015-12-21,59.310001,59.570000,58.740002,59.400002,59.400002,769600
2015-12-22,59.669998,60.639999,59.430000,60.529999,60.529999,1156100
2015-12-23,60.840000,61.060001,60.130001,60.720001,60.720001,412200
2015-12-24,60.580002,60.630001,59.799999,60.200001,60.200001,345400
2015-12-28,60.020000,60.330002,59.439999,59.770000,59.770000,482900
2015-12-29,60.090000,60.930000,60.029999,60.610001,60.610001,368900
