Date,Open,High,Low,Close,Adj Close,Volume
2015-07-01,165.619995,165.929993,164.020004,165.220001,157.807449,1140600
2015-07-02,165.789993,165.789993,162.619995,163.139999,155.820786,1559200
2015-07-06,160.820007,162.429993,157.369995,161.600006,154.349869,2772800
2015-07-07,162.490005,162.660004,158.089996,160.330002,153.136826,2611100
2015-07-08,159.500000,160.550003,159.000000,159.389999,152.239044,1312500
2015-07-09,161.289993,161.979996,158.580002,158.580002,151.465363,1675200
2015-07-10,159.669998,161.009995,159.300003,159.729996,152.563782,1539100
2015-07-13,160.199997,160.820007,155.070007,156.449997,149.430939,2716200
2015-07-14,156.570007,160.809998,156.410004,159.970001,152.792999,1823300
2015-07-15,160.100006,161.800003,158.820007,159.600006,152.439606,1292600
2015-07-16,159.429993,160.059998,157.009995,157.600006,150.529358,1551200
2015-07-17,157.669998,158.610001,157.050003,158.589996,151.474930,1469600
2015-07-20,158.559998,158.839996,154.500000,156.589996,149.564651,2109700
2015-07-21,156.350006,157.000000,154.389999,155.779999,148.790985,1448600
2015-07-22,155.610001,156.789993,154.770004,155.100006,148.141495,1102700
2015-07-23,156.600006,157.119995,154.009995,155.210007,148.246567,2284400
2015-07-24,152.309998,154.149994,148.779999,150.860001,144.091705,4747600
2015-07-27,150.800003,152.029999,149.889999,151.500000,144.703018,2481100
2015-07-28,152.429993,155.000000,151.000000,154.199997,147.281860,3245700
2015-07-29,155.850006,157.000000,151.729996,155.270004,148.303879,3495200
2015-07-30,156.029999,157.050003,152.619995,154.889999,147.940933,3408100
2015-07-31,155.860001,156.119995,153.639999,154.270004,147.348740,2616000
2015-08-03,154.279999,155.270004,152.050003,152.779999,145.925568,1868100
2015-08-04,153.800003,154.000000,151.770004,152.500000,145.658142,1449100
2015-08-05,153.440002,155.009995,152.380005,154.949997,147.998245,2222900
2015-08-06,154.720001,155.949997,152.179993,152.440002,145.600845,1423200
2015-08-07,152.289993,153.000000,151.889999,152.630005,145.782318,1864600
2015-08-10,152.600006,153.770004,152.199997,152.330002,145.495758,996700
2015-08-11,152.000000,152.759995,151.429993,152.419998,145.581741,1151200
2015-08-12,151.580002,152.000000,148.800003,149.470001,142.764099,1842300
2015-08-13,149.970001,150.610001,148.449997,149.690002,142.974197,1548100
2015-08-14,149.690002,150.449997,148.440002,149.300003,142.601730,1681700
2015-08-17,149.389999,152.250000,149.270004,151.899994,145.085083,1860200
2015-08-18,152.179993,154.500000,151.869995,153.300003,146.422272,1996900
2015-08-19,152.429993,152.869995,150.779999,151.949997,145.132813,1354900
2015-08-20,150.539993,151.630005,147.720001,147.860001,141.226303,1939700
2015-08-21,145.669998,147.500000,144.770004,146.619995,140.041916,3783600
2015-08-24,138.889999,143.820007,136.039993,140.679993,134.368439,4219200
2015-08-25,142.509995,143.860001,137.940002,138.139999,131.942398,2623500
2015-08-26,140.259995,142.309998,138.320007,142.160004,135.782074,2606100
2015-08-27,143.000000,144.369995,139.440002,142.160004,135.782074,2274000
2015-08-28,141.770004,142.240005,139.089996,140.559998,134.253830,2018500
2015-08-31,140.089996,143.690002,139.949997,141.050003,134.721848,3224700
2015-09-01,138.490005,139.750000,137.029999,138.059998,131.865982,3342900
2015-09-02,139.050003,140.500000,137.619995,140.470001,134.167862,2357900
2015-09-03,140.809998,143.940002,140.570007,142.949997,136.536606,2721100
2015-09-04,140.839996,142.949997,140.490005,142.050003,135.676971,2201000
2015-09-08,143.490005,146.550003,142.740005,146.429993,140.478546,2216100
2015-09-09,147.270004,147.960007,145.169998,145.600006,139.682297,2341800
2015-09-10,145.110001,146.279999,143.759995,143.940002,138.089767,2030500
2015-09-11,147.750000,147.750000,143.009995,147.089996,141.111725,1582500
2015-09-14,147.440002,147.800003,145.389999,145.869995,139.941284,1600900
2015-09-15,147.660004,148.619995,145.570007,148.240005,142.215012,1464600
2015-09-16,148.619995,151.910004,148.600006,151.149994,145.006714,1762400
2015-09-17,151.979996,152.440002,148.320007,150.270004,144.162506,2275400
2015-09-18,148.789993,149.490005,146.229996,146.860001,140.891083,2636000
2015-09-21,148.669998,149.779999,147.020004,149.570007,143.490936,2085400
2015-09-22,148.009995,149.850006,147.059998,148.660004,142.617935,1832000
2015-09-23,148.240005,150.410004,147.800003,149.279999,143.212753,1532800
2015-09-24,147.520004,149.979996,144.789993,147.059998,141.082932,1875500
2015-09-25,148.020004,148.429993,140.869995,141.910004,136.142273,2209800
2015-09-28,141.210007,142.029999,134.619995,136.309998,130.769882,2941200
2015-09-29,136.500000,139.830002,135.139999,137.720001,132.122574,2699900
2015-09-30,138.899994,141.429993,138.389999,140.000000,134.309891,1776500
2015-10-01,140.309998,140.679993,137.000000,138.940002,133.292969,2142600
2015-10-02,138.000000,141.869995,136.710007,141.850006,136.084702,1429200
2015-10-05,142.889999,143.960007,142.020004,142.850006,137.044052,1499300
2015-10-06,142.880005,142.919998,138.190002,139.460007,133.791840,1621700
2015-10-07,139.949997,139.990005,135.250000,139.410004,133.743866,3358200
2015-10-08,139.220001,139.380005,136.179993,137.330002,131.748398,1998000
2015-10-09,137.149994,141.320007,137.149994,140.490005,134.779999,1951500
2015-10-12,141.000000,143.880005,140.600006,143.860001,138.013016,1418000
2015-10-13,143.710007,149.869995,143.470001,146.529999,140.574509,2288200
2015-10-14,146.279999,147.869995,142.250000,143.350006,137.523727,1578700
2015-10-15,143.130005,145.559998,137.110001,145.229996,139.327316,3427000
2015-10-16,146.860001,147.759995,145.880005,147.050003,141.073349,1493900
2015-10-19,146.350006,149.369995,146.350006,148.809998,142.761826,1308000
2015-10-20,148.979996,149.500000,147.440002,148.240005,142.215012,905300
2015-10-21,149.309998,149.380005,138.750000,142.789993,136.986465,3640000
2015-10-22,142.250000,143.139999,135.240005,139.410004,133.743866,5605600
2015-10-23,140.080002,143.279999,139.279999,140.949997,135.221298,3150500
2015-10-26,140.960007,142.339996,139.539993,141.740005,135.979187,1991800
2015-10-27,141.330002,146.100006,141.330002,144.690002,138.809296,2728200
2015-10-28,141.000000,144.979996,134.740005,141.800003,136.036743,5090900
2015-10-29,140.850006,142.710007,140.399994,141.339996,135.595444,2372200
2015-10-30,141.919998,141.919998,139.029999,139.149994,133.494446,2132600
2015-11-02,139.000000,140.520004,137.720001,139.860001,134.175598,1802500
2015-11-03,139.100006,140.169998,135.529999,137.050003,131.479797,1982100
2015-11-04,138.000000,138.039993,133.089996,135.339996,129.839279,3192100
2015-11-05,135.509995,136.440002,133.789993,136.039993,130.510849,1847200
2015-11-06,134.979996,135.839996,132.460007,133.979996,128.534546,2073900
2015-11-09,133.490005,134.309998,131.949997,133.770004,128.333115,2552400
2015-11-10,133.770004,135.910004,133.539993,135.270004,129.772156,1320600
2015-11-11,136.020004,136.020004,133.949997,134.190002,128.736023,1751200
2015-11-12,134.360001,135.699997,133.259995,133.429993,128.006912,1751000
2015-11-13,133.320007,134.500000,132.000000,132.550003,127.162697,1784900
2015-11-16,132.759995,135.270004,132.759995,135.059998,129.570679,1027900
2015-11-17,134.679993,138.199997,134.050003,136.250000,130.712311,1533800
2015-11-18,136.300003,137.660004,134.649994,137.300003,131.719635,1800000
2015-11-19,130.520004,131.990005,126.250000,127.860001,122.663315,5775100
2015-11-20,128.169998,132.000000,128.029999,131.289993,125.953880,2765600
2015-11-23,131.669998,133.919998,131.029999,131.130005,125.800407,1511100
2015-11-24,130.809998,131.880005,129.759995,131.630005,126.280090,2029000
2015-11-25,131.500000,131.820007,130.320007,131.000000,125.675697,1641100
2015-11-27,131.600006,132.289993,130.169998,131.220001,125.886726,554900
2015-11-30,131.220001,131.580002,130.100006,130.380005,125.080887,2315600
2015-12-01,131.110001,135.990005,130.320007,135.820007,130.299805,2276900
2015-12-02,135.380005,137.139999,132.449997,132.919998,128.107162,5880500
2015-12-03,132.779999,133.809998,129.039993,129.429993,124.743530,2837600
2015-12-04,129.410004,133.179993,129.279999,132.750000,127.943291,1551000
2015-12-07,133.520004,133.520004,131.139999,132.779999,127.972229,1970700
2015-12-08,132.000000,133.449997,130.550003,131.600006,126.834953,3459400
2015-12-09,130.800003,133.960007,130.460007,132.460007,127.663818,2050700
2015-12-10,132.029999,135.199997,131.330002,134.839996,129.957642,1687000
2015-12-11,134.000000,137.479996,133.149994,135.779999,130.863586,2629000
2015-12-14,136.229996,137.000000,134.160004,135.529999,130.622635,1351600
2015-12-15,136.229996,137.300003,134.029999,135.020004,130.131119,1528900
2015-12-16,136.309998,138.119995,135.539993,137.779999,132.791183,1459700
2015-12-17,137.699997,140.490005,137.259995,139.009995,133.976654,1631800
2015-12-18,139.000000,139.830002,137.750000,137.750000,132.762268,1934800
2015-12-21,138.100006,140.619995,137.699997,139.529999,134.477814,1393800
2015-12-22,140.100006,140.880005,138.000000,140.190002,135.113937,1773500
2015-12-23,140.470001,141.080002,139.580002,140.509995,135.422348,901700
2015-12-24,140.679993,141.490005,140.449997,140.559998,135.470520,357500
2015-12-28,140.279999,140.509995,139.009995,140.029999,134.959702,472300
2015-12-29,140.520004,142.279999,140.309998,141.850006,136.713821,669200
2015-12-30,141.869995,142.490005,140.759995,140.960007,135.856033,470400
2015-12-31,140.119995,141.220001,139.419998,139.440002,134.391068,706700
2016-01-04,137.660004,139.429993,137.009995,139.210007,134.169388,1769800
2016-01-05,139.850006,141.949997,139.029999,141.240005,136.125885,1841000
2016-01-06,139.619995,140.479996,136.899994,137.789993,132.800827,1635900
2016-01-07,136.119995,137.820007,134.630005,135.429993,130.526260,1596800
2016-01-08,135.490005,136.509995,131.789993,132.130005,127.345764,1544900
2016-01-11,132.119995,132.990005,127.580002,128.360001,123.712257,1729400
2016-01-12,130.500000,136.520004,130.000000,135.600006,130.690125,2539800
2016-01-13,135.619995,137.169998,133.080002,134.139999,129.282990,2171300
2016-01-14,134.789993,139.240005,133.860001,138.100006,133.099594,2271200
2016-01-15,134.619995,136.710007,133.410004,134.990005,130.102219,2426400
2016-01-19,136.669998,137.899994,133.809998,136.850006,131.894852,2301400
2016-01-20,135.490005,139.080002,131.710007,137.490005,132.511673,3338300
2016-01-21,137.149994,140.490005,137.009995,138.779999,133.754974,2023300
2016-01-22,140.089996,141.800003,138.910004,141.399994,136.280090,1681600
2016-01-25,141.750000,141.750000,137.669998,138.669998,133.648956,1944900
2016-01-26,138.529999,139.710007,136.589996,137.759995,132.771896,1879300
2016-01-27,134.839996,136.100006,129.750000,131.229996,126.478340,3647100
2016-01-28,131.089996,133.080002,126.419998,126.419998,121.842499,3195100
2016-01-29,127.779999,130.529999,127.089996,130.490005,125.765152,2383600
2016-02-01,131.619995,132.440002,129.229996,129.720001,125.023010,1704000
2016-02-02,129.169998,129.889999,125.779999,127.010002,122.411148,2251800
2016-02-03,127.620003,127.699997,123.480003,126.830002,122.237663,2661200
2016-02-04,126.000000,127.489998,122.779999,126.639999,122.054543,2261300
2016-02-05,126.629997,127.089996,122.769997,123.379997,118.912582,1366100
2016-02-08,122.099998,122.500000,115.629997,117.220001,112.975624,3280100
2016-02-09,117.050003,121.750000,115.739998,119.820000,115.481483,2648500
2016-02-10,120.510002,123.160004,119.760002,121.470001,117.071747,1074300
2016-02-11,119.800003,121.150002,118.820000,119.980003,115.635696,1929300
2016-02-12,120.519997,121.610001,119.769997,121.550003,117.148842,1102300
2016-02-16,122.370003,124.970001,122.169998,124.830002,120.310089,1439600
2016-02-17,125.000000,127.709999,124.800003,127.559998,122.941231,1441800
2016-02-18,127.660004,129.490005,127.529999,128.020004,123.384583,1415700
2016-02-19,127.580002,129.130005,126.540001,127.230003,122.623184,1359000
2016-02-22,128.119995,132.479996,128.000000,132.169998,127.384323,1734500
2016-02-23,131.899994,133.880005,130.809998,131.270004,126.516891,1519900
2016-02-24,130.940002,131.070007,128.949997,130.750000,126.015717,1121800
2016-02-25,130.630005,132.240005,129.919998,132.229996,127.442123,1312400
2016-02-26,132.550003,133.850006,131.880005,132.500000,127.702370,1325600
2016-02-29,131.860001,133.619995,130.679993,130.690002,125.957901,1476200
2016-03-01,131.869995,132.169998,130.339996,131.800003,127.027740,1576000
2016-03-02,132.059998,134.119995,131.220001,134.089996,129.234802,1569100
