Date,Open,High,Low,Close,Adj Close,Volume
2015-07-01,37.549999,38.939999,37.430000,38.860001,37.696545,24435200
2015-07-02,38.770000,38.849998,38.200001,38.299999,37.153316,20257100
2015-07-06,38.150002,38.410000,37.750000,38.040001,36.901100,17521500
2015-07-07,37.889999,38.000000,36.480000,37.110001,35.998947,17082700
2015-07-08,36.980000,37.150002,36.400002,36.500000,35.407196,7799300
2015-07-09,37.080002,37.090000,36.730000,37.020000,35.911640,10327200
2015-07-10,37.340000,37.720001,36.930000,37.610001,36.483978,10109600
2015-07-13,37.730000,37.730000,37.290001,37.599998,36.474270,8969100
2015-07-14,37.480000,37.790001,37.330002,37.730000,36.600376,11631000
2015-07-15,37.759998,37.810001,37.529999,37.700001,36.571285,12867400
2015-07-16,37.759998,37.830002,37.540001,37.770000,36.639183,8280700
2015-07-17,37.740002,37.830002,37.270000,37.360001,36.241463,8858100
2015-07-20,37.430000,37.750000,37.259998,37.660000,36.532475,12162900
2015-07-21,37.650002,37.889999,37.599998,37.849998,36.716785,7290900
2015-07-22,37.730000,37.860001,37.650002,37.709999,36.580978,8715400
2015-07-23,37.799999,38.209999,37.759998,37.970001,36.833199,10271800
2015-07-24,37.799999,37.970001,37.590000,37.639999,36.513081,6612600
2015-07-27,37.599998,37.900002,37.500000,37.700001,36.571285,8898000
2015-07-28,37.959999,38.150002,37.680000,38.090000,36.949608,8299900
2015-07-29,38.180000,38.759998,38.049999,38.500000,37.347324,8413900
2015-07-30,37.820000,40.070000,37.709999,40.009998,38.812115,14504000
2015-07-31,39.750000,40.150002,39.720001,40.080002,38.880024,11660300
2015-08-03,39.919998,40.070000,39.389999,39.509998,38.327084,6949200
2015-08-04,40.410000,41.080002,39.750000,40.310001,39.103134,76058800
2015-08-05,40.560001,43.439999,40.400002,42.130001,40.868645,40376600
2015-08-06,41.889999,42.560001,41.779999,41.930000,40.674637,23178500
2015-08-07,41.939999,42.709999,41.459999,41.880001,40.626129,11530500
2015-08-10,42.029999,42.450001,41.930000,42.040001,40.781342,9214300
2015-08-11,41.689999,41.980000,41.490002,41.759998,40.509724,6373000
2015-08-12,41.560001,41.639999,40.410000,40.820000,39.597870,7711300
2015-08-13,40.810001,41.040001,40.509998,40.820000,39.597870,4966900
2015-08-14,41.099998,41.099998,40.660000,40.900002,39.675476,3530700
2015-08-17,40.750000,40.810001,40.470001,40.759998,39.539661,6676300
2015-08-18,40.689999,40.980000,40.520000,40.590000,39.374748,4176100
2015-08-19,40.480000,40.580002,40.060001,40.139999,38.938229,6773900
2015-08-20,40.000000,40.139999,39.509998,39.610001,38.424095,7850000
2015-08-21,39.250000,39.410000,38.009998,38.279999,37.133907,15192700
2015-08-24,36.369999,37.509998,34.500000,37.169998,36.057148,15628800
