Date,Open,High,Low,Close,Adj Close,Volume
2016-01-04,66.879997,68.080002,65.720001,67.989998,63.088196,8586900
2016-01-05,68.379997,68.440002,66.419998,67.279999,62.429379,6139100
2016-01-06,65.980003,66.849998,65.620003,66.220001,61.445805,6639300
2016-01-07,65.080002,65.519997,63.660000,63.939999,59.330181,8601500
2016-01-08,64.330002,64.529999,62.930000,63.290001,58.727039,8278500
2016-01-11,63.669998,63.700001,60.849998,61.470001,57.038261,9655100
2016-01-12,62.439999,62.500000,60.389999,61.599998,57.158886,8593100
2016-01-13,62.070000,62.759998,60.389999,60.889999,56.500072,7237300
2016-01-14,61.240002,62.970001,60.380001,62.270000,57.780586,9241800
2016-01-15,59.520000,60.090000,58.750000,59.869999,56.249165,12674500
2016-01-19,60.259998,60.540001,58.480000,59.029999,55.459965,8501100
2016-01-20,58.080002,59.380001,56.360001,58.810001,55.253277,10857700
2016-01-21,59.000000,60.419998,58.250000,59.689999,56.080048,8798300
2016-01-22,61.230000,62.560001,60.599998,60.980000,57.292034,7815600
2016-01-25,58.959999,59.349998,57.759998,57.910000,54.407696,10971500
2016-01-26,58.400002,59.660000,58.090000,59.160000,55.582104,8135100
2016-01-27,58.430000,59.889999,57.459999,58.320000,54.792900,11013800
2016-01-28,62.009998,62.450001,58.570000,61.080002,57.385990,13567000
2016-01-29,61.689999,62.290001,60.759998,62.240002,58.475830,8221000
2016-02-01,61.970001,63.080002,61.380001,62.700001,58.908012,5955700
2016-02-02,61.279999,61.549999,60.480000,60.669998,57.000774,6282300
2016-02-03,61.470001,63.599998,59.799999,63.270000,59.443539,8332100
2016-02-04,63.599998,66.989998,63.599998,65.959999,61.970852,12537500
2016-02-05,65.669998,66.760002,65.180000,66.120003,62.121174,7463700
2016-02-08,65.419998,65.639999,63.660000,64.580002,60.674313,6315500
2016-02-09,63.900002,64.410004,63.119999,63.930000,60.063622,5541700
2016-02-10,64.269997,64.379997,62.000000,62.139999,58.381874,5955400
2016-02-11,60.910000,62.310001,60.509998,61.410000,57.696022,7055000
2016-02-12,61.990002,63.470001,61.820000,63.150002,59.330795,4297400
2016-02-16,64.160004,65.550003,63.509998,65.209999,61.266212,4819400
2016-02-17,66.000000,67.790001,65.720001,67.260002,63.192219,7373800
2016-02-18,67.150002,67.599998,65.139999,66.120003,62.121174,6175500
2016-02-19,64.919998,65.519997,64.080002,65.419998,61.463505,4994900
2016-02-22,65.419998,67.519997,65.419998,67.309998,63.239197,5787700
2016-02-23,67.110001,67.239998,65.699997,65.779999,61.801735,5599400
2016-02-24,64.699997,65.970001,63.070000,65.879997,61.895687,6439200
2016-02-25,65.889999,66.470001,64.839996,66.470001,62.450005,4273800
2016-02-26,67.389999,68.000000,66.449997,66.870003,62.825813,4149800
2016-02-29,67.139999,68.580002,66.489998,67.699997,63.605606,8643200
2016-03-01,68.440002,69.489998,67.339996,69.089996,64.911552,4451600
2016-03-02,68.750000,69.930000,68.209999,69.379997,65.184021,4801300
2016-03-03,69.620003,72.080002,69.389999,71.750000,67.410683,7128700
2016-03-04,72.089996,73.959999,71.540001,72.839996,68.434753,9521500
2016-03-07,72.800003,75.730003,72.800003,74.769997,70.248032,10740400
2016-03-08,73.779999,74.110001,71.519997,71.730003,67.391899,8748400
2016-03-09,72.330002,72.699997,71.260002,71.870003,67.523430,4907900
