Date,Open,High,Low,Close,Adj Close,Volume
2015-07-01,109.800003,110.839996,101.349998,102.489998,95.579857,17646700
2015-07-02,100.790001,105.570000,100.070000,103.739998,96.745560,5568400
2015-07-06,102.650002,103.779999,102.540001,103.330002,96.363228,2979200
2015-07-07,103.570000,104.580002,102.599998,104.459999,97.417023,3819900
2015-07-08,103.699997,103.980003,102.430000,102.639999,95.719749,2794800
2015-07-09,104.160004,104.230003,102.919998,103.489998,96.512428,3004100
2015-07-10,104.709999,104.709999,103.489998,103.839996,96.838829,2404300
2015-07-13,104.800003,104.959999,103.839996,104.230003,97.202545,1685500
2015-07-14,103.930000,104.209999,103.209999,103.629997,96.642982,2703400
2015-07-15,103.550003,104.110001,102.629997,103.779999,96.782867,3798900
2015-07-16,104.730003,104.820000,104.000000,104.360001,97.323769,2759400
2015-07-17,104.430000,104.430000,103.360001,104.139999,97.118614,1699900
2015-07-20,104.059998,104.389999,103.739998,104.220001,97.193222,2106800
2015-07-21,104.320000,104.510002,103.209999,103.879997,96.876137,3133800
2015-07-22,106.129997,106.739998,104.790001,106.589996,99.403404,4582500
2015-07-23,106.519997,107.120003,105.339996,106.449997,99.272873,3197500
2015-07-24,106.190002,107.099998,106.070000,106.440002,99.263535,2060600
2015-07-27,106.120003,108.010002,106.099998,107.000000,99.785767,3007100
2015-07-28,107.459999,107.739998,106.930000,107.620003,100.363983,2554600
2015-07-29,107.519997,108.419998,107.110001,107.989998,100.709023,1918200
2015-07-30,107.599998,108.739998,107.599998,108.589996,101.268578,1531900
2015-07-31,109.970001,110.199997,108.570000,108.769997,101.436432,4031400
2015-08-03,108.680000,110.820000,108.550003,110.739998,103.273613,2660000
2015-08-04,110.620003,111.180000,110.269997,110.370003,102.928574,2368600
2015-08-05,110.919998,111.629997,110.500000,111.129997,103.637321,2394700
2015-08-06,111.279999,111.320000,109.709999,110.139999,102.714058,1951700
2015-08-07,109.940002,110.010002,109.339996,109.860001,102.452942,1466000
2015-08-10,110.599998,111.040001,109.849998,110.110001,102.686096,1589800
2015-08-11,109.199997,110.540001,109.199997,109.980003,102.564850,1788400
2015-08-12,109.320000,109.389999,107.809998,109.129997,101.772156,1807200
2015-08-13,107.919998,109.529999,107.620003,108.980003,101.632278,1516100
2015-08-14,109.190002,109.720001,108.790001,109.669998,102.275764,1326200
2015-08-17,109.580002,110.449997,108.930000,109.989998,102.574188,1391200
2015-08-18,109.790001,110.540001,109.489998,110.480003,103.031151,1458600
2015-08-19,109.739998,110.529999,109.040001,109.730003,102.331741,1917900
2015-08-20,108.769997,109.070000,107.449997,107.500000,100.252075,2499100
2015-08-21,106.730003,107.250000,105.019997,105.070000,97.985901,2685300
2015-08-24,99.779999,103.750000,96.000000,101.320000,94.488739,5703900
2015-08-25,104.360001,104.360001,99.620003,99.720001,92.996605,3455300
2015-08-26,101.660004,102.250000,99.570000,101.849998,94.983009,3644400
2015-08-27,102.860001,104.029999,101.669998,103.639999,96.652313,2837100
2015-08-28,103.349998,103.739998,101.739998,102.709999,95.785027,2426600
2015-08-31,102.309998,102.629997,101.300003,102.160004,95.272102,2195500
2015-09-01,100.379997,101.019997,99.220001,99.720001,92.996605,3025600
2015-09-02,100.680000,101.120003,99.500000,100.629997,93.845261,2130000
2015-09-03,101.070000,101.970001,100.989998,101.669998,94.815140,2136300
2015-09-04,100.400002,100.730003,99.550003,100.160004,93.406960,2508900
2015-09-08,101.470001,102.110001,100.580002,101.970001,95.094910,1950400
2015-09-09,102.790001,103.260002,100.559998,100.730003,93.938530,1830700
2015-09-10,100.730003,101.489998,100.330002,100.739998,93.947853,1683300
2015-09-11,100.349998,101.070000,100.250000,100.860001,94.059753,1591600
2015-09-14,101.059998,101.059998,99.980003,100.209999,93.453575,1650900
2015-09-15,100.419998,101.629997,99.949997,101.300003,94.470093,1935000
2015-09-16,101.330002,101.949997,101.129997,101.809998,94.945702,1405600
2015-09-17,101.910004,102.870003,101.379997,101.550003,95.236420,2626500
2015-09-18,99.790001,101.230003,99.589996,99.919998,93.707764,3548200
2015-09-21,100.629997,101.959999,100.269997,101.680000,95.358353,2327500
2015-09-22,100.699997,101.269997,100.309998,100.980003,94.701881,2647200
2015-09-23,100.870003,102.150002,100.550003,101.339996,95.039467,2540500
2015-09-24,100.529999,101.769997,100.150002,101.550003,95.236420,1989600
2015-09-25,102.889999,104.239998,102.419998,103.419998,96.990166,2657600
2015-09-28,102.209999,103.040001,100.330002,100.900002,95.243881,2657400
2015-09-29,100.830002,101.790001,100.110001,101.589996,95.895180,2097800
2015-09-30,102.389999,103.550003,102.139999,103.400002,97.603729,2983100
2015-10-01,103.230003,103.330002,100.940002,102.290001,96.555954,3354300
2015-10-02,100.879997,102.720001,100.339996,102.720001,96.961845,2019600
2015-10-05,103.470001,104.650002,103.419998,104.330002,98.481598,2184600
2015-10-06,103.599998,104.089996,102.930000,103.290001,97.499908,2078400
2015-10-07,103.910004,104.980003,103.480003,104.980003,99.095161,2596600
2015-10-08,104.540001,106.660004,104.000000,106.580002,100.605476,1964200
2015-10-09,106.410004,107.269997,106.220001,106.470001,100.501625,3162700
2015-10-12,105.750000,107.269997,105.750000,107.019997,101.020805,1144900
2015-10-13,106.559998,107.370003,106.080002,106.449997,100.482758,1443500
2015-10-14,106.290001,106.739998,105.400002,105.550003,99.633209,1545700
2015-10-15,105.830002,107.680000,105.830002,107.550003,101.521095,1584400
