Date,Open,High,Low,Close,Adj Close,Volume
2016-01-04,4.440000,4.970000,4.400000,4.950000,4.950000,38476100
2016-01-05,4.890000,5.090000,4.840000,5.010000,5.010000,23666900
2016-01-06,4.770000,4.880000,4.600000,4.680000,4.680000,24549200
2016-01-07,4.430000,4.640000,4.360000,4.410000,4.410000,24150800
2016-01-08,4.440000,4.530000,4.260000,4.440000,4.440000,28562000
2016-01-11,4.490000,4.500000,4.080000,4.170000,4.170000,24801200
2016-01-12,4.270000,4.280000,3.750000,4.050000,4.050000,26920000
2016-01-13,4.100000,4.180000,3.610000,3.640000,3.640000,21532300
2016-01-14,3.610000,3.820000,3.560000,3.710000,3.710000,28054200
2016-01-15,3.480000,3.600000,3.280000,3.560000,3.560000,27331600
2016-01-19,3.580000,3.610000,2.950000,3.080000,3.080000,26479400
2016-01-20,2.860000,3.450000,2.690000,3.320000,3.320000,36875600
2016-01-21,3.250000,3.660000,3.170000,3.550000,3.550000,24335400
2016-01-22,3.820000,4.150000,3.460000,3.510000,3.510000,34642900
2016-01-25,3.270000,3.600000,2.950000,2.950000,2.950000,26632200
2016-01-26,3.080000,3.250000,2.880000,3.190000,3.190000,28005700
2016-01-27,3.220000,3.630000,3.170000,3.280000,3.280000,28778400
2016-01-28,3.520000,3.570000,3.100000,3.160000,3.160000,29659200
2016-01-29,3.190000,3.460000,3.160000,3.390000,3.390000,25580300
2016-02-01,3.320000,3.380000,3.100000,3.210000,3.210000,16936500
2016-02-02,3.120000,3.140000,2.990000,2.990000,2.990000,17638100
2016-02-03,3.080000,3.390000,2.750000,3.360000,3.360000,27600800
2016-02-04,3.400000,3.650000,3.190000,3.260000,3.260000,39022900
2016-02-05,3.210000,3.260000,3.030000,3.060000,3.060000,21391500
2016-02-08,2.560000,2.590000,1.500000,2.040000,2.040000,121984600
2016-02-09,2.090000,2.090000,1.800000,1.950000,1.950000,39012100
2016-02-10,1.990000,2.010000,1.630000,1.700000,1.700000,32508000
2016-02-11,1.660000,1.810000,1.530000,1.780000,1.780000,50804200
2016-02-12,1.860000,1.890000,1.560000,1.590000,1.590000,49579200
2016-02-16,1.680000,1.910000,1.650000,1.860000,1.860000,39305400
2016-02-17,1.940000,1.990000,1.850000,1.880000,1.880000,35944000
2016-02-18,1.970000,2.140000,1.900000,1.980000,1.980000,37277500
2016-02-19,1.940000,2.030000,1.900000,2.000000,2.000000,20668000
2016-02-22,2.090000,2.490000,2.070000,2.390000,2.390000,33909200
2016-02-23,2.530000,2.710000,2.160000,2.190000,2.190000,49682200
2016-02-24,2.440000,2.740000,2.350000,2.690000,2.690000,62165300
2016-02-25,2.640000,2.900000,2.500000,2.560000,2.560000,39588800
2016-02-26,2.890000,2.890000,2.650000,2.700000,2.700000,30763400
2016-02-29,2.820000,2.820000,2.530000,2.610000,2.610000,44469300
2016-03-01,2.640000,2.780000,2.550000,2.760000,2.760000,24109900
2016-03-02,2.620000,3.750000,2.600000,3.400000,3.400000,76288000
2016-03-03,3.370000,4.720000,3.320000,4.270000,4.270000,138279500
2016-03-04,4.590000,5.430000,4.300000,5.080000,5.080000,188966400
2016-03-07,5.380000,5.760000,5.180000,5.230000,5.230000,116687300
2016-03-08,5.050000,5.060000,4.100000,4.300000,4.300000,65203200
2016-03-09,4.560000,4.700000,4.300000,4.630000,4.630000,39907900
2016-03-10,4.620000,4.740000,4.350000,4.610000,4.610000,42170800
2016-03-11,4.880000,4.990000,4.640000,4.700000,4.700000,40426900
2016-03-14,4.420000,4.500000,4.270000,4.380000,4.380000,39561000
2016-03-15,4.200000,4.260000,3.950000,4.180000,4.180000,35923300
2016-03-16,4.300000,4.590000,4.260000,4.390000,4.390000,46280400
2016-03-17,4.620000,4.880000,4.450000,4.790000,4.790000,39980600
2016-03-18,5.080000,5.300000,4.770000,4.910000,4.910000,86810500
2016-03-21,4.930000,5.050000,4.790000,4.880000,4.880000,24781200
2016-03-22,4.780000,4.940000,4.660000,4.820000,4.820000,17455600
2016-03-23,4.820000,4.830000,4.100000,4.130000,4.130000,33995100
2016-03-24,3.860000,4.450000,3.780000,4.250000,4.250000,30180700
2016-03-28,4.240000,4.240000,4.000000,4.150000,4.150000,22442800
2016-03-29,3.990000,4.090000,3.840000,4.040000,4.040000,28401900
2016-03-30,4.180000,4.340000,3.990000,4.010000,4.010000,26639100
2016-03-31,3.970000,4.160000,3.950000,4.120000,4.120000,15535600
2016-04-01,3.980000,4.100000,3.800000,3.830000,3.830000,28693700
2016-04-04,3.860000,3.900000,3.630000,3.720000,3.720000,23103300
2016-04-05,3.610000,3.780000,3.530000,3.760000,3.760000,26995600
2016-04-06,3.870000,3.920000,3.650000,3.730000,3.730000,28964600
2016-04-07,3.740000,3.820000,3.540000,3.610000,3.610000,26226200
2016-04-08,3.790000,3.850000,3.680000,3.760000,3.760000,25243500
2016-04-11,4.120000,4.500000,4.100000,4.500000,4.500000,67074200
2016-04-12,4.840000,6.150000,4.830000,6.050000,6.050000,183424100
2016-04-13,6.110000,6.560000,5.920000,6.060000,6.060000,104115400
2016-04-14,6.130000,6.190000,5.740000,6.010000,6.010000,52928400
2016-04-15,5.760000,6.180000,5.710000,6.030000,6.030000,59950400
2016-04-18,5.490000,6.070000,5.490000,5.960000,5.960000,40262500
2016-04-19,6.190000,6.370000,6.070000,6.120000,6.120000,39685600
2016-04-20,6.050000,6.530000,6.010000,6.420000,6.420000,40822400
2016-04-21,6.640000,6.730000,6.160000,6.190000,6.190000,37722100
2016-04-22,6.290000,6.590000,6.240000,6.550000,6.550000,26733200
2016-04-25,6.590000,6.710000,6.300000,6.400000,6.400000,28026400
2016-04-26,6.480000,6.600000,6.370000,6.600000,6.600000,27568400
2016-04-27,6.780000,7.150000,6.730000,7.140000,7.140000,39699700
2016-04-28,7.100000,7.590000,6.780000,6.780000,6.780000,57819200
2016-04-29,6.980000,7.150000,6.600000,6.870000,6.870000,36823100
2016-05-02,6.830000,6.850000,6.400000,6.590000,6.590000,28265500
2016-05-03,6.380000,6.420000,5.730000,5.800000,5.800000,40165300
2016-05-04,6.090000,6.180000,5.620000,5.650000,5.650000,26750000
2016-05-05,6.300000,6.470000,5.700000,5.710000,5.710000,61069000
2016-05-06,5.520000,5.830000,4.550000,4.590000,4.590000,70168900
2016-05-09,4.720000,4.900000,4.030000,4.100000,4.100000,48668700
2016-05-10,4.230000,4.360000,3.930000,4.300000,4.300000,69598700
2016-05-11,4.250000,4.820000,4.120000,4.360000,4.360000,53033200
2016-05-12,4.590000,4.630000,4.080000,4.170000,4.170000,42197800
2016-05-13,3.980000,4.250000,3.980000,4.060000,4.060000,28025700
2016-05-16,4.190000,4.330000,3.850000,3.900000,3.900000,41098100
2016-05-17,3.990000,4.250000,3.870000,3.930000,3.930000,54752000
2016-05-18,3.960000,4.060000,3.810000,3.850000,3.850000,27082200
2016-05-19,3.780000,3.890000,3.590000,3.860000,3.860000,31395500
2016-05-20,3.920000,3.950000,3.690000,3.720000,3.720000,39436600
2016-05-23,3.690000,3.780000,3.560000,3.670000,3.670000,34133200
2016-05-24,3.680000,4.070000,3.640000,4.050000,4.050000,37706100
2016-05-25,4.230000,4.490000,4.190000,4.350000,4.350000,46433200
2016-05-26,4.630000,4.740000,4.110000,4.230000,4.230000,45778600
2016-05-27,4.160000,4.210000,4.040000,4.160000,4.160000,24622800
2016-05-31,4.230000,4.450000,4.230000,4.290000,4.290000,39265700
2016-06-01,4.210000,4.390000,4.090000,4.370000,4.370000,32385400
2016-06-02,4.300000,4.440000,4.220000,4.250000,4.250000,30021500
2016-06-03,4.260000,4.300000,4.070000,4.090000,4.090000,25173700
2016-06-06,4.240000,4.590000,4.170000,4.570000,4.570000,39899800
2016-06-07,4.670000,4.860000,4.550000,4.670000,4.670000,44641800
2016-06-08,4.890000,5.140000,4.830000,4.970000,4.970000,46179200
2016-06-09,4.750000,4.920000,4.520000,4.880000,4.880000,56624000
2016-06-10,4.670000,4.730000,4.370000,4.420000,4.420000,38196000
2016-06-13,4.370000,4.600000,4.170000,4.330000,4.330000,35505400
2016-06-14,4.240000,4.450000,4.100000,4.280000,4.280000,32907900
2016-06-15,4.270000,4.500000,4.230000,4.280000,4.280000,31947300
2016-06-16,4.210000,4.350000,4.030000,4.240000,4.240000,38943000
2016-06-17,4.390000,4.650000,4.350000,4.510000,4.510000,53537500
2016-06-20,4.810000,4.820000,4.540000,4.660000,4.660000,40741500
2016-06-21,4.540000,4.650000,4.480000,4.620000,4.620000,33027900
2016-06-22,4.720000,4.720000,4.500000,4.510000,4.510000,23789800
2016-06-23,4.570000,4.650000,4.520000,4.640000,4.640000,19077300
2016-06-24,4.260000,4.470000,4.170000,4.370000,4.370000,29431500
2016-06-27,4.250000,4.290000,3.930000,4.060000,4.060000,31026800
2016-06-28,4.280000,4.320000,4.180000,4.280000,4.280000,24753300
2016-06-29,4.450000,4.500000,4.330000,4.420000,4.420000,29723500
2016-06-30,4.390000,4.400000,4.150000,4.280000,4.280000,35427900
2016-07-01,4.250000,4.630000,4.210000,4.590000,4.590000,33140100
2016-07-05,4.390000,4.430000,4.130000,4.300000,4.300000,31805200
2016-07-06,4.260000,4.350000,4.220000,4.350000,4.350000,24467400
2016-07-07,4.450000,4.570000,4.220000,4.230000,4.230000,35039000
2016-07-08,4.350000,4.370000,4.190000,4.240000,4.240000,25568200
2016-07-11,4.310000,4.340000,4.170000,4.180000,4.180000,22733500
2016-07-12,4.330000,4.590000,4.280000,4.580000,4.580000,38693700
2016-07-13,4.500000,4.570000,4.270000,4.350000,4.350000,28952800
2016-07-14,4.430000,4.580000,4.370000,4.500000,4.500000,40486200
2016-07-15,4.540000,4.660000,4.410000,4.420000,4.420000,27001600
2016-07-18,4.440000,4.600000,4.300000,4.600000,4.600000,22479100
2016-07-19,4.530000,4.590000,4.430000,4.500000,4.500000,27669200
2016-07-20,4.410000,4.830000,4.360000,4.740000,4.740000,36837800
2016-07-21,4.920000,5.250000,4.880000,4.970000,4.970000,65411900
2016-07-22,5.140000,5.500000,5.010000,5.390000,5.390000,65448400
2016-07-25,5.370000,5.390000,5.010000,5.140000,5.140000,54782600
2016-07-26,5.030000,5.370000,5.000000,5.350000,5.350000,43936400
2016-07-27,5.590000,5.600000,5.100000,5.190000,5.190000,51480300
2016-07-28,5.180000,5.320000,5.130000,5.190000,5.190000,33250100
2016-07-29,5.150000,5.460000,5.150000,5.420000,5.420000,46527800
2016-08-01,5.330000,5.350000,5.060000,5.090000,5.090000,36137800
2016-08-02,5.200000,5.240000,4.750000,4.900000,4.900000,43539000
2016-08-03,4.950000,5.300000,4.820000,5.290000,5.290000,49753700
2016-08-04,5.040000,5.280000,4.950000,5.130000,5.130000,71179100
2016-08-05,5.180000,5.190000,4.860000,4.890000,4.890000,50875800
2016-08-08,4.950000,5.150000,4.900000,5.010000,5.010000,41031600
2016-08-09,5.070000,5.080000,4.770000,4.810000,4.810000,44431100
2016-08-10,4.860000,4.930000,4.770000,4.800000,4.800000,36236100
2016-08-11,5.090000,5.100000,4.820000,5.030000,5.030000,70282400
2016-08-12,5.060000,5.090000,4.920000,5.020000,5.020000,32240600
2016-08-15,5.150000,5.530000,5.070000,5.500000,5.500000,75369500
2016-08-16,5.600000,5.940000,5.420000,5.910000,5.910000,77068600
2016-08-17,5.910000,5.930000,5.500000,5.680000,5.680000,65679000
2016-08-18,5.750000,6.250000,5.750000,6.200000,6.200000,80389500
2016-08-19,6.140000,6.220000,5.930000,6.090000,6.090000,43153200
2016-08-22,5.840000,6.090000,5.820000,6.090000,6.090000,38955200
2016-08-23,6.040000,6.580000,6.030000,6.460000,6.460000,64579200
2016-08-24,6.560000,6.600000,6.240000,6.260000,6.260000,44841400
2016-08-25,6.250000,6.440000,6.200000,6.330000,6.330000,32318000
2016-08-26,6.370000,6.540000,6.350000,6.400000,6.400000,34761700
2016-08-29,6.360000,6.490000,6.250000,6.440000,6.440000,21989600
2016-08-30,6.510000,6.650000,6.400000,6.510000,6.510000,28894800
2016-08-31,6.440000,6.510000,6.180000,6.350000,6.350000,34652300
2016-09-01,6.230000,6.350000,6.150000,6.250000,6.250000,28084800
2016-09-02,6.310000,6.700000,6.300000,6.600000,6.600000,45992400
2016-09-06,6.700000,6.900000,6.660000,6.800000,6.800000,36792200
2016-09-07,6.940000,6.950000,6.760000,6.810000,6.810000,28037500
