Date,Open,High,Low,Close,Adj Close,Volume
2016-01-04,65.400002,65.410004,63.980000,64.709999,61.576962,5722600
2016-01-05,64.730003,65.260002,64.599998,65.000000,61.852928,4307000
2016-01-06,64.209999,64.639999,63.959999,64.139999,61.034565,4407600
2016-01-07,63.400002,63.900002,62.759998,63.009998,59.959270,4476300
2016-01-08,63.099998,63.419998,62.369999,62.549999,59.521545,3219800
2016-01-11,62.849998,63.200001,62.080002,62.810001,59.768959,3062600
2016-01-12,63.270000,63.500000,62.669998,63.380001,60.311363,2834900
2016-01-13,63.599998,63.939999,62.799999,62.910000,59.864120,3575600
2016-01-14,63.029999,64.139999,62.980000,63.529999,60.454098,3894200
2016-01-15,62.369999,63.919998,62.320000,63.349998,60.282810,6703000
2016-01-19,63.790001,64.519997,63.700001,64.290001,61.177299,5106800
2016-01-20,63.459999,63.680000,61.400002,62.450001,59.426392,8221500
2016-01-21,62.320000,63.959999,61.910000,63.650002,60.939095,5645300
2016-01-22,64.330002,64.910004,63.869999,64.610001,61.858212,4360100
2016-01-25,64.330002,64.610001,63.759998,63.930000,61.207169,3728100
2016-01-26,64.010002,64.809998,63.980000,64.330002,61.590134,3642700
2016-01-27,64.290001,65.099998,63.880001,64.300003,61.561409,3265900
2016-01-28,64.559998,65.550003,64.320000,65.019997,62.250732,5576500
2016-01-29,64.989998,67.650002,64.349998,67.529999,64.653847,9512900
2016-02-01,66.930000,67.080002,65.889999,66.199997,63.380482,4897600
2016-02-02,65.620003,66.080002,65.169998,65.360001,62.576260,3717000
2016-02-03,65.839996,66.260002,65.000000,66.029999,63.217724,4037600
2016-02-04,65.900002,66.230003,65.500000,65.989998,63.179432,3021300
2016-02-05,65.989998,66.320000,65.410004,66.190002,63.370918,3899900
2016-02-08,65.650002,66.290001,65.239998,66.070000,63.256023,4029200
2016-02-09,65.480003,66.309998,64.930000,65.879997,63.074120,4363600
2016-02-10,66.389999,66.830002,65.709999,65.809998,63.007107,3117500
2016-02-11,64.709999,65.300003,64.000000,64.440002,61.695450,4744300
2016-02-12,64.779999,65.750000,64.540001,65.699997,62.901775,2579100
2016-02-16,66.519997,66.699997,65.519997,65.809998,63.007107,3481200
2016-02-17,66.120003,67.199997,65.959999,67.059998,64.203857,3112400
2016-02-18,66.900002,67.339996,66.629997,67.220001,64.357040,2470100
2016-02-19,67.199997,67.480003,66.360001,67.459999,64.586830,3373200
2016-02-22,67.459999,68.389999,67.389999,67.610001,64.730431,2900800
2016-02-23,67.389999,67.709999,67.019997,67.199997,64.337891,2083200
2016-02-24,66.940002,66.989998,66.029999,66.320000,63.495373,5260200
2016-02-25,66.610001,67.449997,66.330002,67.419998,64.548515,3007000
2016-02-26,67.199997,67.529999,66.070000,66.279999,63.457081,3273400
2016-02-29,66.440002,66.699997,65.610001,65.639999,62.844337,3625900
2016-03-01,66.059998,67.389999,65.930000,67.330002,64.462364,3629600
2016-03-02,67.059998,67.419998,66.389999,67.080002,64.223015,2546900
2016-03-03,66.860001,67.610001,66.709999,67.610001,64.730431,2411000
2016-03-04,67.419998,68.320000,67.279999,68.160004,65.257011,2827300
2016-03-07,67.800003,67.940002,67.370003,67.570000,64.692139,2764100
2016-03-08,67.209999,67.930000,66.860001,67.529999,64.653847,2253000
2016-03-09,67.879997,68.580002,67.300003,67.980003,65.084686,2711800
2016-03-10,68.110001,68.449997,67.529999,68.230003,65.324043,2453200
2016-03-11,68.279999,68.489998,67.949997,68.370003,65.458069,3186900
2016-03-14,68.339996,68.589996,67.830002,68.239998,65.333595,2280100
2016-03-15,67.830002,68.750000,67.699997,68.589996,65.668701,2474800
2016-03-16,68.410004,68.820000,67.860001,68.680000,65.754860,2603300
2016-03-17,68.760002,69.989998,68.580002,69.860001,66.884613,4243300
2016-03-18,69.980003,70.500000,69.660004,70.480003,67.478195,7731800
2016-03-21,70.070000,70.870003,69.800003,70.430000,67.430328,4128700
2016-03-22,70.000000,70.300003,69.279999,69.559998,66.597389,3637400
2016-03-23,69.599998,70.080002,69.540001,69.800003,66.827164,2296900
2016-03-24,69.540001,69.959999,69.379997,69.910004,66.932480,3806000
2016-03-28,69.980003,70.389999,69.739998,69.910004,66.932480,1926200
2016-03-29,70.000000,70.669998,69.550003,70.510002,67.506927,3208500
2016-03-30,70.510002,71.250000,70.180000,70.720001,67.707977,4354100
