Date,Open,High,Low,Close,Adj Close,Volume
2016-01-04,31.780001,32.910000,31.530001,32.320000,31.565958,6770300
2016-01-05,32.200001,32.930000,31.559999,32.830002,32.064064,6258100
2016-01-06,31.610001,31.629999,30.129999,30.209999,29.505184,7777700
2016-01-07,29.209999,30.129999,27.900000,28.059999,27.405346,11164900
2016-01-08,28.350000,28.930000,27.450001,28.500000,27.835085,8160500
2016-01-11,28.799999,28.830000,26.510000,26.969999,26.340776,10329800
2016-01-12,27.660000,27.860001,24.549999,25.719999,25.119942,14152100
2016-01-13,26.360001,26.690001,24.219999,24.799999,24.221405,11457100
2016-01-14,25.040001,26.219999,24.180000,25.959999,25.354342,8580900
2016-01-15,24.370001,24.650000,23.360001,24.490000,23.918634,9673400
2016-01-19,24.879999,24.879999,22.750000,23.480000,22.932201,9417700
2016-01-20,22.559999,22.650000,19.690001,21.590000,21.086296,18600900
2016-01-21,21.330000,24.920000,21.180000,24.180000,23.615868,10875600
2016-01-22,26.440001,27.500000,24.969999,25.629999,25.032040,14612300
2016-01-25,24.750000,26.020000,22.760000,22.770000,22.238768,10370000
2016-01-26,23.889999,24.650000,22.700001,24.559999,23.987001,7526500
2016-01-27,24.160000,25.850000,23.520000,24.490000,23.918634,10952700
2016-01-28,25.799999,26.990000,25.209999,26.790001,26.164976,11272800
2016-01-29,27.059999,28.660000,26.799999,27.900000,27.249083,11270900
2016-02-01,27.030001,27.030001,25.400000,26.059999,25.452007,8310500
2016-02-02,24.879999,25.379999,24.459999,24.690001,24.113972,7786100
2016-02-03,25.350000,26.600000,24.120001,26.590000,25.969643,12323100
2016-02-04,26.770000,28.870001,26.420000,26.559999,25.940344,11714800
2016-02-05,25.850000,25.940001,24.340000,24.850000,24.270237,9510100
2016-02-08,24.059999,24.180000,22.240000,23.680000,23.127537,9304900
2016-02-09,22.730000,23.400000,22.120001,22.660000,22.131332,8641700
2016-02-10,22.200001,23.420000,21.320000,21.629999,21.125360,9868600
2016-02-11,21.020000,21.600000,19.620001,21.250000,20.754227,15209000
2016-02-12,20.620001,21.820000,20.570000,21.690001,21.183964,19887100
2016-02-16,22.340000,22.530001,20.250000,21.260000,20.763994,13772500
2016-02-17,20.410000,20.830000,18.379999,20.330000,19.855690,30662900
2016-02-18,19.209999,20.410000,18.990000,19.700001,19.240393,97177500
2016-02-19,19.250000,19.309999,18.070000,18.650000,18.214886,33916500
2016-02-22,18.650000,20.500000,18.650000,20.299999,19.826389,24330200
2016-02-23,20.080000,20.389999,18.889999,18.910000,18.468822,19387700
2016-02-24,18.459999,19.500000,18.219999,19.410000,18.957157,17820900
2016-02-25,19.450001,19.950001,18.850000,19.559999,19.103657,16396100
2016-02-26,20.370001,20.580000,19.840000,20.290001,19.816626,24943100
2016-02-29,20.420000,20.440001,19.490000,19.680000,19.220856,17878000
2016-03-01,19.990000,20.000000,18.559999,19.219999,18.771584,22698700
2016-03-02,19.059999,21.540001,18.850000,21.520000,21.017929,20265900
2016-03-03,21.389999,22.510000,21.190001,22.000000,21.486732,17465200
2016-03-04,22.510000,24.040001,21.450001,23.309999,22.766165,21258900
2016-03-07,23.299999,24.719999,23.290001,24.190001,23.625635,21885000
2016-03-08,23.910000,23.910000,21.440001,21.469999,20.969095,16059700
2016-03-09,22.070000,23.440001,21.500000,22.930000,22.395031,14397800
2016-03-10,22.680000,22.770000,21.150000,22.480000,21.955528,18339500
2016-03-11,23.370001,25.040001,23.309999,24.780001,24.463043,19564400
2016-03-14,24.020000,24.959999,23.799999,24.790001,24.472914,12254800
2016-03-15,24.299999,24.600000,23.129999,24.090000,23.781868,12384600
2016-03-16,24.360001,26.240000,24.209999,26.219999,25.884623,15702000
2016-03-17,27.030001,28.070000,26.330000,27.400000,27.049530,17461800
2016-03-18,27.930000,28.559999,26.450001,27.540001,27.187740,26829400
2016-03-21,27.290001,28.850000,27.070000,28.020000,27.661598,13667600
2016-03-22,27.570000,28.629999,27.500000,28.010000,27.651730,10769100
2016-03-23,27.590000,27.870001,25.450001,25.760000,25.430508,14814600
2016-03-24,24.879999,26.629999,24.600000,26.469999,26.131426,12753400
2016-03-28,26.540001,26.610001,25.219999,25.840000,25.509485,9698900
2016-03-29,25.280001,26.170000,24.580000,26.090000,25.756287,12564500
2016-03-30,26.570000,26.969999,25.660000,26.200001,25.864882,10610500
2016-03-31,26.020000,27.500000,25.889999,27.440001,27.089018,11418900
2016-04-01,26.389999,26.870001,25.600000,26.610001,26.269636,15199900
2016-04-04,26.719999,27.290001,25.940001,26.049999,25.716799,8820200
2016-04-05,25.610001,26.840000,25.549999,26.389999,26.052450,10035400
2016-04-06,26.889999,27.959999,26.280001,27.559999,27.207483,12189100
2016-04-07,27.360001,28.250000,27.150000,27.600000,27.246973,10606900
2016-04-08,28.600000,29.370001,28.450001,28.770000,28.402006,9888100
2016-04-11,29.010000,29.700001,28.910000,29.049999,28.678423,8342400
2016-04-12,29.790001,31.260000,29.290001,30.959999,30.563995,16249800
2016-04-13,30.760000,31.280001,30.080000,30.959999,30.563995,13266200
2016-04-14,31.180000,31.410000,30.580000,31.350000,30.949003,10426600
2016-04-15,31.010000,31.650000,30.430000,31.400000,30.998365,10890900
2016-04-18,29.969999,32.290001,29.730000,32.000000,31.590693,10858500
2016-04-19,32.900002,33.950001,32.450001,33.619999,33.189972,11769100
2016-04-20,33.000000,35.369999,32.610001,34.750000,34.305519,12902400
2016-04-21,34.860001,35.250000,33.820000,33.930000,33.496006,14104500
2016-04-22,34.270000,35.540001,34.259998,35.200001,34.749760,11294700
2016-04-25,34.959999,35.180000,33.560001,33.950001,33.515747,11134700
2016-04-26,34.349998,34.990002,33.910000,34.619999,34.177177,10971400
2016-04-27,34.900002,37.180000,34.900002,36.910000,36.437893,14921700
2016-04-28,36.450001,37.669998,35.900002,36.110001,35.648121,12081400
2016-04-29,36.540001,36.950001,33.820000,34.680000,34.236416,17332000
2016-05-02,34.430000,34.840000,33.500000,34.560001,34.117954,9928100
2016-05-03,33.790001,33.980000,32.400002,32.750000,32.331097,12722900
2016-05-04,33.939999,34.250000,30.280001,31.309999,30.909517,18024300
2016-05-05,32.490002,32.939999,30.709999,31.200001,30.800926,11039800
