Date,Open,High,Low,Close,Adj Close,Volume
2016-01-04,76.616768,77.395210,75.838326,77.305389,77.305389,2549300
2016-01-05,77.245506,81.317368,77.215569,80.718559,80.718559,3807200
2016-01-06,79.820358,83.173653,79.341316,81.856285,81.856285,7403600
2016-01-07,80.119759,81.497009,78.443115,79.071854,79.071854,2871500
2016-01-08,79.970062,81.137726,78.562874,79.011978,79.011978,2103900
2016-01-11,79.850296,80.838326,73.982033,74.670662,74.670662,2550600
2016-01-12,75.479042,77.574852,70.838326,71.976051,71.976051,964000
2016-01-13,71.976051,72.544907,63.473053,64.970062,64.970062,1485700
2016-01-14,65.449104,67.035927,63.083832,66.407188,66.407188,1158000
2016-01-15,64.431137,68.862274,63.712574,68.772453,68.772453,4099400
2016-01-19,69.431137,70.059883,65.718559,66.467064,66.467064,1813900
2016-01-20,65.449104,68.502991,62.514969,67.395210,67.395210,2420100
2016-01-21,67.365273,71.317368,67.215569,68.682632,68.682632,2240500
2016-01-22,69.790421,70.928146,68.443115,70.179642,70.179642,1618400
2016-01-25,69.970062,70.658684,69.041916,69.311378,69.311378,1535700
2016-01-26,69.371254,71.077843,68.353294,70.598801,70.598801,1939500
2016-01-27,70.359283,71.856285,69.550896,69.970062,69.970062,703300
2016-01-28,71.137726,71.467064,64.071854,64.131737,64.131737,1394600
2016-01-29,64.191620,66.227547,64.191620,66.167664,66.167664,4332600
2016-02-01,65.838326,66.646706,65.089821,66.107788,66.107788,2511900
2016-02-02,65.419159,66.317368,65.029938,65.538925,65.538925,1538900
2016-02-03,65.568863,65.928146,62.185627,63.203594,63.203594,2376300
2016-02-04,62.544910,63.892216,61.706585,63.473053,63.473053,2735200
2016-02-05,63.143711,63.443115,59.311378,60.419163,60.419163,760300
2016-02-08,59.580837,59.580837,55.808384,56.826347,56.826347,2115200
2016-02-09,56.107784,57.604790,54.820358,56.856289,56.856289,3889600
2016-02-10,57.155689,59.431137,56.556885,58.862274,58.862274,1070600
2016-02-11,57.994011,58.473053,56.077843,56.796406,56.796406,843500
2016-02-12,57.275448,57.784431,56.407185,57.365269,57.365269,911700
2016-02-16,56.257484,59.520958,55.808384,59.520958,59.520958,2771600
2016-02-17,59.640720,63.622753,59.520958,63.143711,63.143711,2620000
2016-02-18,63.233532,64.341316,61.736526,62.724552,62.724552,2955100
2016-02-19,62.485031,63.263474,61.107784,62.964073,62.964073,2344300
2016-02-22,63.682636,68.143715,63.622753,65.598801,65.598801,4951500
2016-02-23,64.970062,68.922157,63.443115,67.245506,67.245506,4556000
2016-02-24,66.526947,66.706589,63.682636,65.838326,65.838326,2471600
2016-02-25,66.347305,68.562874,65.718559,65.958084,65.958084,2371300
2016-02-26,66.616768,68.053894,65.389221,67.574852,67.574852,955700
2016-02-29,67.365273,67.964073,64.790421,65.838326,65.838326,3128900
2016-03-01,66.137726,67.485031,64.550896,67.335327,67.335327,2376400
2016-03-02,66.976051,69.730537,66.886230,68.712578,68.712578,2622800
2016-03-03,68.712578,71.676643,68.293411,70.508980,70.508980,1862100
2016-03-04,70.419159,71.077843,68.802399,69.610779,69.610779,557800
2016-03-07,69.251495,71.227547,68.862274,70.838326,70.838326,1624000
2016-03-08,70.838326,70.898201,65.688622,65.838326,65.838326,3030800
2016-03-09,66.167664,66.616768,62.964073,64.730537,64.730537,2674400
2016-03-10,65.119759,65.538925,61.197605,61.826347,61.826347,2343600
2016-03-11,62.335331,65.898201,62.005989,64.670662,64.670662,1346700
2016-03-14,65.389221,65.568863,62.185627,62.694611,62.694611,3808100
2016-03-15,62.155689,62.365269,59.071857,59.940121,59.940121,3770800
2016-03-16,60.868263,61.976048,59.670658,60.508984,60.508984,4461300
2016-03-17,60.688622,62.485031,58.772453,60.299400,60.299400,4499600
2016-03-18,60.538921,64.071854,59.730537,64.041916,64.041916,5024300
2016-03-21,63.982037,64.820358,61.167664,62.754490,62.754490,3643900
2016-03-22,62.544910,62.694611,61.377247,62.215569,62.215569,1877600
2016-03-23,62.215569,62.485031,58.592815,59.101795,59.101795,3862800
2016-03-24,58.682636,60.239521,57.754490,60.149700,60.149700,2861700
2016-03-28,60.299400,60.508984,58.562874,59.431137,59.431137,1955700
2016-03-29,59.431137,61.107784,58.353294,60.808384,60.808384,3592400
2016-03-30,61.377247,61.676647,57.994011,61.287426,61.287426,4923100
2016-03-31,61.167664,61.826347,60.389221,61.077843,61.077843,3358200
2016-04-01,60.568863,60.568863,58.892216,59.431137,59.431137,3160000
2016-04-04,59.371258,59.670658,58.113773,58.173653,58.173653,3374000
2016-04-05,57.544910,58.323353,56.467068,57.185627,57.185627,3007900
2016-04-06,57.065868,60.329342,55.209579,60.149700,60.149700,6556500
2016-04-07,59.910179,62.604790,59.880241,62.065868,62.065868,3760600
2016-04-08,62.694611,64.610779,62.365269,63.323353,63.323353,4518200
2016-04-11,63.473053,63.562874,61.407185,61.646706,61.646706,1921600
2016-04-12,61.586826,62.305389,60.928143,61.976048,61.976048,1307600
2016-04-13,62.395210,64.670662,62.335331,63.802395,63.802395,749300
2016-04-14,63.832336,66.347305,63.802395,66.347305,66.347305,3774800
2016-04-15,65.928146,66.706589,64.520958,66.317368,66.317368,910600
2016-04-18,66.047905,66.497009,65.628746,66.107788,66.107788,1959000
2016-04-19,66.706589,66.736526,64.790421,65.808380,65.808380,1011900
2016-04-20,65.748505,68.982033,65.299400,68.502991,68.502991,2723600
2016-04-21,68.173653,69.101799,67.155685,67.784431,67.784431,1724600
2016-04-22,67.934135,69.520958,67.514969,68.622757,68.622757,2066800
2016-04-25,68.622757,68.892212,67.275452,67.425148,67.425148,2824600
2016-04-26,67.874252,69.431137,67.425148,69.311378,69.311378,2930800
2016-04-27,69.431137,69.760483,68.413170,69.011978,69.011978,2103400
2016-04-28,68.443115,71.017967,68.083832,68.293411,68.293411,2624100
2016-04-29,68.293411,68.383232,66.227547,67.754494,67.754494,2107200
2016-05-02,67.754494,68.053894,66.137726,67.724548,67.724548,2598600
2016-05-03,67.005989,69.041916,66.706589,68.413170,68.413170,2510800
2016-05-04,67.784431,68.203590,65.149704,66.077843,66.077843,2986000
2016-05-05,66.137726,67.005989,64.520958,65.299400,65.299400,2920700
2016-05-06,72.005989,74.820358,69.910179,71.047905,71.047905,6198600
2016-05-09,71.197601,71.766464,69.880241,70.598801,70.598801,2603100
2016-05-10,70.718559,72.065865,69.161674,71.556885,71.556885,1920800
2016-05-11,71.257484,72.694611,70.508980,71.077843,71.077843,563300
2016-05-12,71.497009,72.185631,68.682632,69.161674,69.161674,960400
