Date,Open,High,Low,Close,Adj Close,Volume
2016-01-04,24.120001,25.610001,23.860001,25.510000,23.694708,10014400
2016-01-05,25.549999,26.430000,25.430000,26.280001,24.409916,11496400
2016-01-06,25.910000,26.280001,25.070000,25.290001,23.490364,6894700
2016-01-07,24.850000,26.799999,24.809999,26.740000,24.837179,11851000
2016-01-08,25.040001,25.290001,22.629999,22.910000,21.279722,17615700
2016-01-11,23.010000,23.040001,22.350000,22.680000,21.066092,10136500
2016-01-12,22.850000,23.219999,22.370001,22.850000,21.223993,6084700
2016-01-13,22.959999,23.209999,22.440001,22.480000,20.880322,5359800
2016-01-14,22.459999,23.629999,22.260000,23.219999,21.567663,7369200
2016-01-15,22.620001,23.709999,22.620001,23.260000,21.604816,8099000
2016-01-19,23.100000,23.350000,22.379999,22.700001,21.084667,5368200
2016-01-20,22.360001,22.790001,21.570000,22.450001,20.852459,5914300
2016-01-21,22.610001,23.230000,22.469999,23.000000,21.363319,5490400
2016-01-22,23.340000,23.700001,23.000000,23.660000,21.976355,5186400
2016-01-25,23.770000,24.090000,22.940001,23.059999,21.419048,6190700
2016-01-26,23.090000,24.200001,23.040001,23.889999,22.189987,5627200
2016-01-27,23.750000,24.290001,23.459999,23.760000,22.069241,4132900
2016-01-28,24.120001,24.209999,23.750000,24.010000,22.301449,3274600
2016-01-29,24.260000,24.809999,24.059999,24.719999,22.960924,5833500
2016-02-01,24.490000,24.860001,24.150000,24.740000,22.979502,5387500
2016-02-02,24.500000,25.059999,24.049999,24.290001,22.561525,5907400
2016-02-03,24.480000,24.690001,23.790001,24.450001,22.710138,5943500
2016-02-04,23.870001,24.430000,23.670000,23.900000,22.199276,7339500
2016-02-05,23.820000,24.030001,23.129999,23.770000,22.078527,6167100
2016-02-08,23.389999,24.080000,23.330000,23.990000,22.282869,8504200
2016-02-09,23.870001,24.760000,23.070000,23.270000,21.614107,8751100
2016-02-10,23.520000,23.600000,22.400000,22.549999,20.945341,8437100
2016-02-11,22.230000,22.780001,22.030001,22.430000,20.833881,5086300
2016-02-12,22.680000,23.770000,22.580000,23.730000,22.041370,3932200
2016-02-16,24.020000,24.540001,23.400000,24.520000,22.775154,6177500
2016-02-17,24.700001,25.750000,24.660000,25.450001,23.638979,6088200
2016-02-18,25.530001,26.190001,25.010000,26.180000,24.317034,5542700
2016-02-19,25.750000,26.450001,25.160000,26.240000,24.372761,6610500
2016-02-22,26.459999,27.270000,26.370001,27.059999,25.134411,5652300
2016-02-23,27.020000,27.520000,26.809999,27.260000,25.320179,4402500
2016-02-24,26.900000,27.510000,26.330000,27.280001,25.338757,9701000
2016-02-25,27.180000,27.690001,26.639999,27.600000,25.635984,8155700
2016-02-26,27.100000,27.940001,26.200001,27.230000,25.292313,9843500
2016-02-29,27.309999,27.910000,27.150000,27.650000,25.682426,6488700
2016-03-01,27.709999,28.250000,27.700001,28.160000,26.156136,5577200
2016-03-02,28.200001,28.370001,27.930000,28.370001,26.351192,4126200
2016-03-03,28.290001,28.580000,27.990000,28.540001,26.509094,4729200
2016-03-04,28.590000,29.940001,28.549999,29.290001,27.205723,8510900
2016-03-07,28.980000,30.170000,28.950001,29.440001,27.345051,7224400
2016-03-08,29.780001,30.309999,29.590000,29.680000,27.567972,10332100
2016-03-09,29.889999,30.090000,29.490000,29.700001,27.586550,4250300
2016-03-10,29.920000,30.250000,29.139999,29.590000,27.484377,6023700
2016-03-11,30.040001,30.230000,29.650000,30.170000,28.023104,4674500
2016-03-14,30.030001,30.389999,29.940001,30.180000,28.032391,2943900
2016-03-15,30.070000,30.170000,29.059999,29.709999,27.595831,7417400
2016-03-16,28.750000,29.360001,28.650000,29.280001,27.196438,5996600
2016-03-17,29.340000,29.959999,29.240000,29.900000,27.772314,4223500
