Date,Open,High,Low,Close,Adj Close,Volume
2015-07-01,29.900000,29.930000,29.670000,29.760000,27.137154,1684900
2015-07-02,29.770000,29.870001,29.510000,29.610001,27.000374,2603800
2015-07-06,29.389999,29.910000,29.150000,29.879999,27.246578,3013100
2015-07-07,29.889999,30.270000,29.629999,30.160000,27.501900,2572700
2015-07-08,29.889999,30.160000,29.820000,30.080000,27.428951,3183700
2015-07-09,30.320000,30.740000,30.180000,30.469999,27.784578,4772100
2015-07-10,30.799999,31.309999,30.600000,31.180000,28.432007,2656600
2015-07-13,31.370001,31.570000,31.370001,31.530001,28.751158,1950500
2015-07-14,31.530001,31.650000,31.360001,31.379999,28.614378,1631100
2015-07-15,31.440001,31.660000,31.299999,31.650000,28.860579,1439100
2015-07-16,31.760000,32.150002,31.570000,32.070000,29.243567,3205300
2015-07-17,31.959999,32.040001,31.670000,31.799999,28.997358,2168700
2015-07-20,31.830000,31.879999,31.620001,31.770000,28.970007,1231400
2015-07-21,31.709999,32.410000,31.650000,32.200001,29.362110,2757300
2015-07-22,32.150002,34.619999,32.009998,32.869999,29.973057,5616500
2015-07-23,32.980000,33.160000,32.669998,32.869999,29.973057,2631500
2015-07-24,32.880001,33.130001,32.660000,32.759998,29.872749,2148700
2015-07-27,32.590000,32.619999,31.510000,31.600000,28.814987,4616200
2015-07-28,31.830000,32.099998,31.520000,32.009998,29.188850,1470600
2015-07-29,32.020000,33.180000,31.950001,33.090000,30.173668,3277000
2015-07-30,32.959999,33.520000,32.759998,33.340000,30.401638,2946400
2015-07-31,33.369999,33.450001,33.000000,33.290001,30.356047,1883200
2015-08-03,33.270000,33.299999,32.910000,33.029999,30.118958,1410600
2015-08-04,32.980000,33.119999,32.730000,32.900002,30.000418,1411500
2015-08-05,35.610001,36.290001,35.400002,35.830002,32.672180,9629200
2015-08-06,35.680000,35.970001,34.790001,35.169998,32.070347,6470700
2015-08-07,35.160000,35.410000,34.900002,35.380001,32.261845,3424300
2015-08-10,35.639999,35.990002,35.470001,35.849998,32.690422,2035000
2015-08-11,35.349998,35.790001,35.270000,35.660000,32.517166,1673100
2015-08-12,35.430000,35.700001,34.799999,35.500000,32.371265,3676400
2015-08-13,34.790001,35.820000,32.509998,35.580002,32.444218,1236700
2015-08-14,35.580002,35.779999,35.380001,35.560001,32.425980,1508300
2015-08-17,34.840000,35.889999,34.840000,35.759998,32.608353,1446500
2015-08-18,35.500000,35.590000,35.020000,35.230000,32.125065,1941600
2015-08-19,35.020000,35.330002,34.820000,35.090000,31.997406,1462500
2015-08-20,34.709999,34.779999,34.380001,34.389999,31.359095,2227000
2015-08-21,34.060001,34.209999,33.040001,33.070000,30.155430,4323900
2015-08-24,31.780001,32.990002,31.030001,32.029999,29.207092,5359300
2015-08-25,32.799999,33.590000,32.310001,32.330002,29.480656,4753300
2015-08-26,33.169998,33.720001,32.419998,33.660000,30.693434,3036600
2015-08-27,33.919998,34.389999,33.529999,34.369999,31.340857,3459400
2015-08-28,34.180000,34.680000,34.090000,34.470001,31.432049,2724700
2015-08-31,34.310001,34.369999,33.650002,34.020000,31.021711,2494800
2015-09-01,34.540001,34.540001,32.700001,32.950001,30.046013,4159500
2015-09-02,35.770000,35.930000,34.840000,35.419998,32.298313,11000800
2015-09-03,35.570000,35.630001,35.000000,35.400002,32.280083,8206000
2015-09-04,35.000000,35.500000,34.849998,35.299999,32.371780,4382700
2015-09-08,35.750000,35.919998,35.349998,35.840000,32.866997,4285700
2015-09-09,36.220001,36.290001,35.450001,35.520000,32.573540,3137200
2015-09-10,35.360001,35.849998,35.200001,35.720001,32.756954,2063000
2015-09-11,35.580002,36.160000,35.369999,36.150002,33.151279,3281500
2015-09-14,35.790001,36.080002,35.680000,35.849998,32.876163,2860600
2015-09-15,36.060001,36.060001,35.750000,35.830002,32.857822,2563900
2015-09-16,35.939999,35.990002,35.689999,35.790001,32.821140,1981300
2015-09-17,35.910000,36.299999,35.680000,35.740002,32.775284,2901600
2015-09-18,35.380001,35.880001,35.380001,35.500000,32.555195,4738100
2015-09-21,35.849998,36.020000,35.549999,35.779999,32.811974,2121000
2015-09-22,35.529999,35.799999,35.360001,35.740002,32.775284,3389200
2015-09-23,35.750000,36.230000,35.580002,36.099998,33.105423,3661200
2015-09-24,35.799999,36.070000,35.720001,35.770000,32.802795,3376100
2015-09-25,35.980000,36.310001,35.740002,36.049999,33.059570,2959100
2015-09-28,35.970001,36.000000,35.139999,35.160000,32.243401,4258600
2015-09-29,35.240002,35.669998,35.000000,35.250000,32.325939,5611200
2015-09-30,35.610001,36.259998,35.610001,36.200001,33.197124,8121900
2015-10-01,36.250000,36.430000,35.910000,36.369999,33.353031,7031300
2015-10-02,36.009998,36.700001,35.950001,36.570000,33.536438,9380700
2015-10-05,36.730000,36.820000,35.750000,35.939999,32.958698,13012400
2015-10-06,36.000000,36.029999,34.980000,35.150002,32.234234,3968500
2015-10-07,35.230000,35.389999,34.480000,34.810001,31.922438,5541500
2015-10-08,34.799999,35.400002,34.660000,35.380001,32.445148,3383900
2015-10-09,35.290001,35.450001,35.160000,35.400002,32.463493,2784000
2015-10-12,35.470001,35.660000,35.240002,35.270000,32.344273,2906800
2015-10-13,35.169998,35.330002,34.910000,34.980000,32.078331,2443300
2015-10-14,35.000000,35.049999,34.400002,34.639999,31.766533,3507800
2015-10-15,34.720001,35.000000,34.439999,34.860001,31.968288,2948600
2015-10-16,35.029999,35.700001,34.900002,35.619999,32.665241,3902300
2015-10-19,35.470001,35.689999,35.180000,35.650002,32.692757,2146600
2015-10-20,35.590000,35.639999,35.330002,35.480000,32.536854,2143300
2015-10-21,35.599998,35.900002,35.480000,35.669998,32.711090,2014700
2015-10-22,35.810001,35.849998,35.400002,35.509998,32.564365,2228700
2015-10-23,35.709999,36.279999,35.520000,36.200001,33.197124,2271900
2015-10-26,36.160000,37.130001,36.160000,36.919998,33.857407,2664900
2015-10-27,36.759998,36.889999,36.430000,36.610001,33.573120,1964800
2015-10-28,36.750000,37.279999,36.599998,37.150002,34.068329,2270700
2015-10-29,37.070000,37.340000,36.939999,37.160000,34.077492,1458900
2015-10-30,37.230000,37.500000,37.070000,37.259998,34.169193,1853800
2015-11-02,37.299999,37.529999,37.020000,37.400002,34.297592,1767200
2015-11-03,37.240002,37.349998,36.790001,36.900002,33.839066,1620900
2015-11-04,36.990002,37.230000,36.700001,36.810001,33.756538,1894700
2015-11-05,36.880001,37.419998,36.750000,37.330002,34.233398,2071500
2015-11-06,37.470001,37.470001,36.930000,37.209999,34.123352,2220700
2015-11-09,37.160000,37.200001,36.450001,36.740002,33.692337,2221100
2015-11-10,36.700001,37.150002,36.400002,37.130001,34.049992,2863400
2015-11-11,37.130001,37.299999,36.750000,36.779999,33.729019,2137400
2015-11-12,36.680000,36.820000,36.349998,36.490002,33.463085,2695000
2015-11-13,36.389999,36.419998,35.549999,35.680000,32.720264,2265600
2015-11-16,35.750000,36.480000,35.630001,36.470001,33.444733,3176800
2015-11-17,36.410000,37.060001,36.270000,36.419998,33.398869,2412300
2015-11-18,36.529999,36.799999,36.400002,36.740002,33.692337,3032100
2015-11-19,36.810001,36.849998,36.459999,36.470001,33.444733,2713600
2015-11-20,36.619999,37.090000,36.610001,37.020000,33.949112,2934200
2015-11-23,36.970001,37.279999,36.880001,37.099998,34.022472,1807600
2015-11-24,36.770000,36.869999,36.450001,36.610001,33.573120,2380600
2015-11-25,36.820000,37.070000,36.590000,36.939999,33.875744,2082700
2015-11-27,37.020000,37.020000,36.689999,36.730000,33.683159,611700
2015-11-30,36.849998,36.959999,36.490002,36.689999,33.646481,2730600
2015-12-01,36.970001,37.220001,36.639999,37.220001,34.132519,1968800
2015-12-02,37.189999,37.330002,36.840000,36.930000,33.866573,2643600
2015-12-03,36.849998,37.349998,36.599998,36.680000,33.820480,3615900
