Date,Open,High,Low,Close,Adj Close,Volume
2016-01-04,86.400002,87.690002,85.959999,87.650002,83.756416,1327100
2016-01-05,87.879997,89.250000,87.209999,88.169998,84.253311,1175500
2016-01-06,87.250000,88.580002,86.980003,87.370003,83.488861,1971200
2016-01-07,85.849998,87.620003,85.519997,86.239998,82.409050,2098300
2016-01-08,86.500000,87.720001,85.800003,85.839996,82.026817,2067100
2016-01-11,86.599998,87.459999,85.389999,86.940002,83.077957,1262700
2016-01-12,87.320000,89.169998,86.459999,88.910004,84.960449,1948300
2016-01-13,88.879997,89.349998,85.250000,85.400002,81.606369,1444400
2016-01-14,85.529999,85.540001,84.250000,84.489998,80.736786,1532800
2016-01-15,82.720001,84.339996,82.250000,84.250000,80.507462,1660300
2016-01-19,84.989998,85.459999,83.199997,84.339996,80.593452,1170000
2016-01-20,83.269997,84.139999,81.570000,83.580002,79.867210,1272000
2016-01-21,83.690002,84.559998,82.430000,82.849998,79.169624,1081300
2016-01-22,84.010002,84.120003,82.699997,84.059998,80.325890,2094600
2016-01-25,83.900002,84.760002,83.410004,84.129997,80.392784,1610400
2016-01-26,84.290001,85.720001,84.169998,85.620003,81.816605,985700
2016-01-27,85.230003,87.019997,84.559998,84.839996,81.071236,1186700
2016-01-28,85.040001,85.489998,83.949997,84.790001,81.023460,890300
2016-01-29,85.279999,87.110001,84.970001,86.970001,83.106621,1338800
2016-02-01,86.080002,87.139999,85.779999,86.720001,82.867737,1395100
2016-02-02,84.010002,84.089996,77.029999,78.239998,74.764435,6299600
2016-02-03,77.529999,78.860001,77.250000,77.889999,74.429970,3180100
2016-02-04,77.720001,79.820000,77.580002,78.839996,75.337776,1446300
2016-02-05,78.839996,78.839996,74.919998,75.680000,72.318153,1792900
2016-02-08,74.800003,75.269997,71.760002,73.019997,69.776306,2037700
2016-02-09,72.199997,73.720001,72.080002,72.730003,69.499199,1215000
2016-02-10,73.260002,73.669998,72.400002,72.720001,69.489632,1298300
2016-02-11,71.720001,72.400002,70.970001,71.709999,68.524498,1066300
2016-02-12,72.500000,72.519997,71.220001,72.059998,68.858955,948300
2016-02-16,73.050003,73.550003,72.529999,73.459999,70.196754,1077700
2016-02-17,73.800003,74.629997,73.660004,74.260002,70.961235,808800
2016-02-18,74.349998,76.099998,74.220001,74.349998,71.047218,724800
2016-02-19,74.510002,75.389999,73.739998,75.180000,71.840363,1123300
2016-02-22,75.809998,76.830002,75.809998,76.440002,73.044403,1130200
2016-02-23,76.000000,76.360001,75.320000,75.400002,72.050598,797100
2016-02-24,74.940002,75.660004,74.480003,75.459999,72.107918,790800
2016-02-25,75.930000,76.360001,75.209999,76.139999,72.757713,751600
