Date,Open,High,Low,Close,Adj Close,Volume
2016-01-04,71.589996,71.680000,70.860001,71.610001,67.088913,2039800
2016-01-05,72.070000,72.680000,71.540001,71.870003,67.332504,2210500
2016-01-06,71.290001,72.300003,71.150002,72.010002,67.463661,2504000
2016-01-07,71.089996,71.279999,70.260002,70.370003,65.927208,1933200
2016-01-08,71.339996,72.389999,70.379997,71.480003,66.967125,3157400
2016-01-11,71.669998,71.919998,71.029999,71.550003,67.032700,1184200
2016-01-12,71.959999,72.139999,70.680000,71.470001,66.957748,1645500
2016-01-13,71.540001,72.239998,70.870003,70.900002,66.423744,1365600
2016-01-14,70.949997,72.300003,70.779999,71.669998,67.145134,1681000
2016-01-15,70.309998,71.180000,70.290001,70.669998,66.208260,2252300
2016-01-19,71.019997,71.559998,70.809998,71.239998,66.742271,1529900
2016-01-20,70.769997,70.989998,68.730003,70.099998,65.674248,2496600
2016-01-21,70.120003,70.529999,69.070000,69.959999,65.543091,2301500
2016-01-22,70.660004,71.820000,70.279999,71.610001,67.088913,1366200
2016-01-25,71.199997,71.650002,70.440002,70.510002,66.058372,1289300
2016-01-26,70.339996,71.500000,70.099998,71.199997,66.704796,2239600
2016-01-27,71.419998,72.330002,71.139999,71.570000,67.051445,1244800
2016-01-28,72.139999,73.239998,71.720001,72.790001,68.194435,1580100
2016-01-29,73.099998,73.889999,72.750000,73.440002,68.803383,2324900
2016-02-01,73.320000,74.139999,73.040001,73.589996,68.943909,2443800
2016-02-02,73.040001,73.260002,72.269997,72.379997,67.810310,2211000
2016-02-03,72.470001,73.050003,71.519997,72.339996,67.772827,1896700
2016-02-04,72.019997,72.250000,71.400002,71.830002,67.295036,1598600
2016-02-05,72.160004,72.599998,71.570000,71.839996,67.304398,2253000
2016-02-08,71.279999,71.949997,70.739998,71.309998,66.807854,2469600
2016-02-09,70.629997,71.690002,70.330002,71.400002,66.892181,2642700
2016-02-10,71.790001,72.500000,70.559998,70.860001,66.386261,3244700
2016-02-11,72.500000,74.519997,72.230003,73.690002,69.037605,5267100
2016-02-12,74.330002,75.010002,73.699997,74.970001,70.236794,2599400
2016-02-16,74.339996,75.330002,73.830002,75.190002,70.442894,3284700
2016-02-17,75.099998,76.239998,75.010002,75.750000,70.967537,2535500
2016-02-18,75.839996,76.000000,74.809998,75.790001,71.005005,2039400
2016-02-19,75.610001,75.760002,74.989998,75.519997,70.752060,2124700
2016-02-22,75.519997,75.519997,73.400002,73.820000,69.159386,3852900
2016-02-23,73.550003,74.580002,73.540001,74.120003,69.440453,2809500
2016-02-24,73.919998,74.250000,73.529999,73.910004,69.243721,2257000
2016-02-25,74.139999,74.970001,74.040001,74.910004,70.180565,2081500
2016-02-26,74.580002,74.910004,72.900002,73.449997,69.275124,2872200
2016-02-29,73.239998,74.510002,73.070000,74.019997,69.812729,2097600
2016-03-01,74.559998,74.669998,74.000000,74.169998,69.954216,1841600
2016-03-02,73.900002,75.139999,73.110001,75.089996,70.821915,3353000
2016-03-03,74.709999,74.900002,74.160004,74.839996,70.586128,2161500
2016-03-04,74.839996,75.500000,74.510002,75.230003,70.953957,1701300
2016-03-07,74.940002,75.199997,74.639999,74.930000,70.671021,1456600
2016-03-08,74.639999,75.129997,74.500000,74.839996,70.586128,1227600
2016-03-09,75.250000,75.919998,74.980003,75.199997,70.925667,1299100
2016-03-10,75.199997,75.610001,74.860001,75.239998,70.963387,1358500
2016-03-11,75.500000,75.699997,75.099998,75.529999,71.236908,1205800
2016-03-14,75.300003,75.419998,74.720001,74.949997,70.689880,2089700
2016-03-15,74.519997,75.360001,74.220001,75.089996,70.821915,1208000
2016-03-16,75.349998,75.860001,74.500000,75.629997,71.331215,1732200
2016-03-17,75.919998,76.809998,75.699997,76.440002,72.095200,2155500
2016-03-18,76.529999,76.580002,75.839996,76.160004,71.831100,2632200
2016-03-21,75.790001,76.050003,75.389999,75.489998,71.199181,1480900
2016-03-22,75.260002,75.440002,74.099998,74.430000,70.199425,2415900
2016-03-23,74.339996,75.360001,74.199997,75.040001,70.774757,1841200
2016-03-24,74.930000,75.629997,74.680000,75.440002,71.152023,1212000
2016-03-28,75.370003,75.959999,75.330002,75.669998,71.368958,1088100
2016-03-29,75.779999,76.889999,75.629997,76.589996,72.236664,1524800
2016-03-30,76.849998,77.050003,76.500000,76.830002,72.463013,1698900
2016-03-31,76.529999,76.870003,76.389999,76.550003,72.198944,1902300
2016-04-01,75.709999,77.980003,75.529999,77.860001,73.434471,2277400
2016-04-04,77.879997,78.099998,77.000000,78.070000,73.632538,2986200
2016-04-05,77.900002,78.000000,76.650002,76.809998,72.444160,1991700
2016-04-06,78.000000,78.000000,77.269997,77.779999,73.359024,2271700
2016-04-07,77.580002,77.680000,76.900002,77.110001,72.727112,1232600
2016-04-08,77.209999,77.500000,76.809998,77.250000,72.859146,819000
2016-04-11,77.360001,77.830002,76.879997,76.989998,72.613930,1091800
2016-04-12,77.050003,77.529999,77.050003,77.339996,72.944031,908300
2016-04-13,77.500000,77.500000,76.400002,76.669998,72.312103,1685100
2016-04-14,76.690002,77.110001,76.400002,76.459999,72.114052,2090400
2016-04-15,76.510002,77.599998,76.400002,77.550003,73.142090,2237500
2016-04-18,77.550003,77.849998,77.139999,77.669998,73.255272,1399200
2016-04-19,77.690002,77.790001,77.050003,77.599998,73.189255,1541800
2016-04-20,77.540001,77.769997,76.580002,76.709999,72.349831,1373300
2016-04-21,76.750000,76.750000,74.959999,74.989998,70.727600,1862300
2016-04-22,75.070000,75.349998,74.720001,75.279999,71.001122,1210600
2016-04-25,75.150002,76.099998,75.120003,75.800003,71.491570,1312100
2016-04-26,75.910004,76.040001,75.190002,75.320000,71.038841,1767900
2016-04-27,75.559998,76.639999,75.489998,76.389999,72.048019,1397100
2016-04-28,75.919998,76.910004,75.790001,76.480003,72.132912,859500
2016-04-29,76.410004,76.940002,76.059998,76.809998,72.444160,1300500
2016-05-02,77.000000,77.690002,76.800003,77.440002,73.038345,1427300
2016-05-03,77.129997,77.629997,76.650002,76.849998,72.481888,1873200
2016-05-04,76.550003,77.349998,76.529999,77.019997,72.642212,3060200
2016-05-05,75.900002,76.660004,74.879997,75.050003,70.784203,3398600
2016-05-06,74.910004,75.290001,73.699997,75.019997,70.755905,3021200
2016-05-09,75.000000,75.690002,74.709999,75.339996,71.057709,2101700
2016-05-10,75.660004,76.379997,75.599998,76.370003,72.029175,1957500
2016-05-11,76.250000,76.919998,76.070000,76.180000,71.849983,1941000
2016-05-12,76.720001,77.540001,76.620003,77.309998,72.915741,2172300
2016-05-13,77.110001,77.940002,76.949997,77.190002,72.802567,2378600
2016-05-16,77.010002,77.440002,76.779999,77.230003,72.840279,1622600
2016-05-17,76.930000,77.330002,75.139999,75.419998,71.133171,2099800
2016-05-18,75.300003,75.440002,74.050003,75.040001,70.774757,3177800
2016-05-19,74.830002,75.370003,74.540001,75.239998,70.963387,1877300
2016-05-20,75.220001,75.220001,74.110001,74.300003,70.076813,2587400
2016-05-23,74.300003,75.050003,74.260002,74.410004,70.180565,1737800
2016-05-24,74.449997,75.000000,74.239998,74.650002,70.406929,1758700
2016-05-25,74.709999,75.120003,74.500000,74.750000,70.501251,1479100
2016-05-26,74.800003,75.589996,74.790001,75.330002,71.048279,1653800
2016-05-27,74.980003,75.239998,74.190002,74.489998,70.725456,1434600
2016-05-31,74.480003,74.919998,74.010002,74.370003,70.611526,3182300
2016-06-01,74.400002,75.250000,74.349998,74.900002,71.114738,2129500
2016-06-02,74.779999,74.820000,74.260002,74.529999,70.763443,1214100
