Date,Open,High,Low,Close,Adj Close,Volume
2015-07-01,62.930000,63.220001,62.000000,62.820000,54.688366,2412000
2015-07-02,63.110001,63.950001,62.959999,63.130001,54.958241,1894800
2015-07-06,62.500000,63.160000,62.459999,62.830002,54.697063,2348200
2015-07-07,63.150002,65.050003,62.959999,64.959999,56.551361,3041200
2015-07-08,64.449997,65.199997,64.250000,64.589996,56.229244,2726000
2015-07-09,65.199997,65.199997,62.139999,62.680000,54.566490,4427500
2015-07-10,63.709999,64.250000,63.500000,63.950001,55.672092,1937100
2015-07-13,64.349998,64.440002,63.730000,64.070000,55.776558,1728400
2015-07-14,63.889999,64.930000,63.700001,64.769997,56.385952,2574400
2015-07-15,64.849998,64.849998,63.580002,64.000000,55.715626,2303300
2015-07-16,64.169998,64.260002,63.650002,63.730000,55.480572,2263800
2015-07-17,63.529999,63.730000,62.250000,62.259998,54.200844,3069600
2015-07-20,62.500000,62.830002,62.259998,62.590000,54.488136,1995200
2015-07-21,62.520000,62.689999,61.990002,62.060001,54.026745,2460200
2015-07-22,62.119999,62.970001,62.119999,62.869999,54.731888,1510800
2015-07-23,62.740002,62.790001,61.770000,61.869999,53.861343,2169600
2015-07-24,62.009998,62.119999,61.599998,61.880001,53.870041,1740200
2015-07-27,61.430000,62.410000,61.349998,61.779999,53.782986,1685100
2015-07-28,61.910000,61.970001,61.200001,61.410000,53.460876,1609900
2015-07-29,61.500000,61.599998,60.560001,61.169998,53.251942,3329100
2015-07-30,61.150002,61.709999,61.049999,61.520000,53.556641,1768100
2015-07-31,61.639999,62.000000,61.119999,61.320000,53.382534,1457500
2015-08-03,61.330002,61.470001,60.660000,60.849998,52.973370,1380300
2015-08-04,61.110001,61.459999,60.849998,61.180000,53.260647,1414400
2015-08-05,61.389999,62.020000,60.740002,61.160000,53.243244,2382900
2015-08-06,60.740002,60.990002,59.549999,60.349998,52.538090,4066900
2015-08-07,60.080002,60.770000,59.139999,60.020000,52.250805,2252900
2015-08-10,60.299999,61.730000,60.299999,61.599998,53.626286,2345100
2015-08-11,61.270000,61.590000,60.790001,61.410000,53.460876,1894800
2015-08-12,60.200001,64.180000,59.070000,61.500000,53.539234,5861900
2015-08-13,56.930000,57.660000,54.520000,56.110001,48.846931,16453600
2015-08-14,55.610001,55.950001,55.099998,55.540001,48.350712,6026100
2015-08-17,55.139999,55.799999,54.750000,55.660000,48.455177,3121500
2015-08-18,55.790001,55.900002,55.209999,55.450001,48.272362,2688500
2015-08-19,55.250000,55.560001,54.400002,54.740002,47.654274,3448600
2015-08-20,54.209999,54.410000,53.549999,53.689999,46.740185,5533400
2015-08-21,53.230000,53.790001,52.110001,52.299999,45.530109,4478800
2015-08-24,49.340000,51.889999,49.270000,50.430000,43.902172,6720300
2015-08-25,51.340000,51.400002,49.160000,49.180000,42.813976,8454800
2015-08-26,50.180000,50.900002,49.090000,50.860001,44.276508,2779300
2015-08-27,51.180000,51.900002,50.439999,51.340000,44.694382,3155300
2015-08-28,51.380001,52.070000,51.180000,51.720001,45.025185,2671500
2015-08-31,51.459999,51.910000,50.770000,51.029999,44.424500,2692700
2015-09-01,49.810001,51.320000,49.810001,50.520000,43.980518,3185300
2015-09-02,50.709999,50.990002,50.000000,50.889999,44.302631,2932600
2015-09-03,51.099998,52.730000,51.060001,51.540001,44.868496,4513000
2015-09-04,50.930000,51.520000,50.230000,50.470001,44.323990,2527300
2015-09-08,51.110001,51.700001,50.730000,51.660000,45.369076,2051000
2015-09-09,51.840000,52.330002,50.759998,50.860001,44.666492,2219900
2015-09-10,50.490002,51.259998,50.360001,50.840000,44.648937,1698700
2015-09-11,50.340000,50.759998,50.029999,50.740002,44.561104,2120300
2015-09-14,50.669998,51.119999,50.549999,50.740002,44.561104,2057000
2015-09-15,51.000000,51.000000,50.389999,50.470001,44.323990,2609600
2015-09-16,50.389999,51.950001,50.369999,51.849998,45.535934,3417500
2015-09-17,51.790001,52.220001,50.560001,50.669998,44.499630,3213300
2015-09-18,50.130001,50.570000,49.009998,49.209999,43.217422,6356100
2015-09-21,49.669998,50.110001,49.080002,49.189999,43.199860,3369100
2015-09-22,48.910000,49.049999,48.320000,48.900002,42.945179,1805400
2015-09-23,49.080002,49.230000,48.110001,48.520000,42.611446,2180700
2015-09-24,48.169998,48.320000,47.619999,47.840000,42.014259,2608500
2015-09-25,48.330002,48.340000,47.560001,47.700001,41.891304,2947000
2015-09-28,47.580002,47.930000,46.090000,46.110001,40.494934,2849500
2015-09-29,46.299999,47.529999,45.619999,46.270000,40.635448,5367000
2015-09-30,46.520000,46.810001,46.090000,46.310001,40.670578,3070200
2015-10-01,47.180000,47.520000,44.759998,45.060001,39.572792,4683000
2015-10-02,44.689999,45.400002,44.040001,45.400002,39.871391,4266100
2015-10-05,45.790001,47.080002,45.700001,46.830002,41.127254,3281100
2015-10-06,46.419998,46.630001,45.650002,46.490002,40.828659,3664300
2015-10-07,46.619999,47.139999,45.730000,46.150002,40.530060,2158100
2015-10-08,46.180000,47.000000,46.040001,46.650002,40.969170,2865000
2015-10-09,46.599998,47.380001,46.430000,47.270000,41.513672,3782800
2015-10-12,47.250000,47.250000,46.299999,46.500000,40.837433,1656600
2015-10-13,46.369999,46.779999,45.590000,45.610001,40.055820,1675000
2015-10-14,45.790001,46.090000,44.580002,45.009998,39.528881,3016700
2015-10-15,45.169998,45.419998,44.650002,45.180000,39.678181,3195700
2015-10-16,45.299999,45.970001,45.040001,45.930000,40.336845,2468200
2015-10-19,45.910000,46.299999,45.250000,45.669998,40.108509,2714300
2015-10-20,45.709999,46.340000,45.480000,46.310001,40.670578,2449500
2015-10-21,46.380001,46.630001,45.599998,45.650002,40.090946,1890200
2015-10-22,45.750000,45.990002,44.970001,45.419998,39.888950,2478200
2015-10-23,45.480000,45.480000,43.450001,44.060001,38.694569,3495400
2015-10-26,43.939999,45.720001,43.650002,45.330002,39.809910,3462500
2015-10-27,45.330002,45.869999,45.020000,45.759998,40.187542,5365900
2015-10-28,45.779999,46.009998,45.160000,45.700001,40.134857,2539500
2015-10-29,45.660000,45.730000,44.049999,44.580002,39.151253,2814800
2015-10-30,44.779999,46.619999,44.750000,46.119999,40.503712,3353700
2015-11-02,46.139999,46.779999,44.520000,46.709999,41.021866,3946000
2015-11-03,46.720001,48.160000,46.720001,47.369999,41.601490,3273800
2015-11-04,47.439999,47.590000,45.820000,46.209999,40.582745,2590800
2015-11-05,46.320000,46.759998,45.849998,46.660000,40.977951,2924500
2015-11-06,46.540001,47.200001,46.200001,46.570000,40.898911,4085500
2015-11-09,46.009998,46.200001,43.660000,43.980000,38.624310,6119500
2015-11-10,43.630001,45.750000,43.509998,45.599998,40.047031,6824800
2015-11-11,44.000000,44.040001,42.189999,43.160000,37.904163,9828300
2015-11-12,45.430000,47.240002,45.000000,45.790001,40.213902,19188600
2015-11-13,44.669998,44.669998,41.860001,42.849998,37.631916,9982600
2015-11-16,42.689999,43.990002,42.570000,43.939999,38.589184,4144200
2015-11-17,44.299999,45.169998,43.450001,44.049999,38.685783,4433900
2015-11-18,44.279999,45.310001,43.720001,45.150002,39.651833,4506300
2015-11-19,45.389999,45.770000,44.990002,45.180000,39.678181,2767800
2015-11-20,45.590000,47.090000,45.580002,47.040001,41.311672,5070800
2015-11-23,47.310001,47.970001,47.200001,47.639999,41.838612,3518700
2015-11-24,47.349998,49.060001,47.320000,48.529999,42.620232,3262600
2015-11-25,48.470001,48.930000,48.150002,48.500000,42.593887,2688400
2015-11-27,48.820000,49.000000,47.660000,48.070000,42.216248,1315800
2015-11-30,48.220001,48.439999,46.570000,47.130001,41.390720,4785800
2015-12-01,47.270000,47.910000,46.950001,47.220001,41.469761,3636700
