Date,Open,High,Low,Close,Adj Close,Volume
2018-04-24,358.130005,359.350006,332.660004,341.519989,341.519989,1885000
2018-04-25,337.000000,340.670013,318.010010,332.619995,332.619995,2144800
2018-04-26,335.000000,339.880005,327.750000,333.959991,333.959991,1360200

Date,Open,High,Low,Close,Adj Close,Volume
2018-04-26,335.000000,339.880005,327.750000,333.959991,333.959991,1367200
2018-04-27,333.000000,333.369995,320.829987,321.850006,321.850006,1474100
2018-04-30,323.059998,326.510010,321.350006,322.040009,322.040009,1100100
2018-05-01,322.209991,322.739990,302.350006,307.220001,307.220001,3286300
2018-05-02,307.220001,315.619995,305.220001,307.160004,307.160004,2165000
2018-05-03,305.899994,319.619995,304.029999,315.679993,315.679993,1988900
2018-05-04,313.429993,315.230011,311.540009,313.850006,313.850006,993600
2018-05-07,315.619995,319.369995,314.279999,317.130005,317.130005,1173200
2018-05-08,319.359985,330.220001,318.269989,329.269989,329.269989,2055500
2018-05-09,330.190002,331.630005,326.200012,327.589996,327.589996,1169400
2018-05-10,329.600006,330.489990,325.799988,326.410004,326.410004,1230000
2018-05-11,326.649994,326.950012,324.380005,325.299988,325.299988,825500

