Date,Open,High,Low,Close,Adj Close,Volume
2016-01-04,74.389999,74.440002,72.809998,73.570000,69.103790,2150700
2016-01-05,74.040001,74.239998,73.169998,73.959999,69.470123,1820400
2016-01-06,73.180000,73.440002,71.570000,71.940002,67.572762,2415200
2016-01-07,70.419998,71.709999,69.970001,70.510002,66.229561,1721700
2016-01-08,71.160004,71.410004,69.709999,69.900002,65.656601,1502600
2016-01-11,70.230003,70.559998,68.849998,69.650002,65.421776,1714600
2016-01-12,70.290001,71.110001,70.070000,70.800003,66.501953,1556100
2016-01-13,70.940002,71.239998,69.139999,69.250000,65.046066,1113500
2016-01-14,69.559998,71.089996,69.010002,70.750000,66.454979,1364100
2016-01-15,68.940002,70.040001,68.830002,69.669998,65.440559,1472300
2016-01-19,70.430000,70.720001,68.690002,68.889999,64.707893,1748700
2016-01-20,68.010002,68.699997,66.480003,67.940002,63.815575,2177300
2016-01-21,68.260002,69.230003,67.089996,68.650002,64.482468,1198700
2016-01-22,69.699997,71.000000,69.250000,70.610001,66.323494,1601200
2016-01-25,70.250000,70.730003,69.769997,69.879997,65.637794,1353600
2016-01-26,70.290001,72.070000,70.230003,71.989998,67.619705,1714400
2016-01-27,71.860001,72.760002,71.010002,71.519997,67.178246,2266800
2016-01-28,71.839996,72.010002,70.620003,71.889999,67.525780,1921300
2016-01-29,72.250000,73.470001,72.180000,73.349998,68.897148,2020300
2016-02-01,72.910004,74.519997,72.650002,73.949997,69.460732,1739600
2016-02-02,73.080002,73.220001,72.209999,72.370003,67.976639,1580300
2016-02-03,72.860001,73.239998,71.779999,72.470001,68.070572,1750200
2016-02-04,72.510002,73.779999,72.070000,72.650002,68.239639,1944400
2016-02-05,72.580002,72.760002,70.889999,71.209999,66.887062,2649200
2016-02-08,70.239998,70.410004,68.050003,69.720001,65.487518,3711200
2016-02-09,69.720001,72.830002,69.720001,71.620003,67.272179,4692200
2016-02-10,72.389999,74.769997,72.150002,73.470001,69.009872,3863200
2016-02-11,72.500000,73.379997,71.250000,71.889999,67.525780,2923300
2016-02-12,72.629997,73.410004,71.250000,73.349998,68.897148,1772700
2016-02-16,74.050003,75.959999,73.150002,75.750000,71.151459,2114200
