Date,Open,High,Low,Close,Adj Close,Volume
2015-07-01,228.009995,231.380005,227.770004,230.979996,230.979996,678900
2015-07-02,231.979996,232.580002,230.149994,231.240005,231.240005,379100
2015-07-06,229.300003,233.679993,229.000000,232.479996,232.479996,352900
2015-07-07,233.250000,234.199997,230.970001,234.039993,234.039993,613400
2015-07-08,232.410004,233.389999,230.350006,230.820007,230.820007,486700
2015-07-09,233.509995,233.960007,230.470001,231.380005,231.380005,498300
2015-07-10,234.289993,236.630005,233.190002,235.899994,235.899994,444200
2015-07-13,238.270004,240.199997,236.929993,239.820007,239.820007,444200
2015-07-14,240.520004,240.520004,236.410004,237.279999,237.279999,509400
2015-07-15,237.289993,239.000000,237.080002,237.690002,237.690002,424600
2015-07-16,239.199997,239.300003,237.320007,238.970001,238.970001,494400
2015-07-17,238.919998,238.970001,236.100006,238.690002,238.690002,448400
2015-07-20,238.690002,241.500000,238.259995,240.199997,240.199997,610500
2015-07-21,240.559998,240.820007,239.619995,239.710007,239.710007,564700
2015-07-22,239.830002,241.509995,239.660004,240.649994,240.649994,434700
2015-07-23,241.039993,244.309998,240.029999,240.669998,240.669998,541600
2015-07-24,240.600006,242.899994,240.009995,241.850006,241.850006,647500
2015-07-27,240.970001,242.600006,237.169998,239.839996,239.839996,810500
2015-07-28,240.190002,242.059998,238.029999,240.949997,240.949997,618700
2015-07-29,240.949997,242.449997,238.419998,241.710007,241.710007,908900
2015-07-30,246.410004,247.000000,236.789993,238.149994,238.149994,928800
2015-07-31,239.429993,242.789993,238.460007,240.309998,240.309998,822400
2015-08-03,241.300003,241.929993,238.270004,241.509995,241.509995,657900
2015-08-04,240.550003,243.619995,240.509995,243.369995,243.369995,475900
2015-08-05,245.000000,245.710007,243.279999,244.169998,244.169998,559500
2015-08-06,244.130005,245.119995,240.580002,241.179993,241.179993,467700
2015-08-07,241.960007,244.479996,240.490005,244.460007,244.460007,417200
2015-08-10,246.529999,248.389999,245.949997,247.690002,247.690002,632000
2015-08-11,247.529999,247.750000,245.059998,247.639999,247.639999,493600
2015-08-12,246.009995,247.740005,242.779999,247.240005,247.240005,496400
2015-08-13,247.220001,256.519989,246.330002,253.919998,253.919998,981500
2015-08-14,254.220001,255.610001,252.460007,254.369995,254.369995,466800
2015-08-17,254.369995,255.279999,252.229996,254.639999,254.639999,341600
2015-08-18,254.809998,256.390015,252.750000,254.449997,254.449997,373000
2015-08-19,254.449997,258.149994,252.559998,256.470001,256.470001,474500
2015-08-20,253.820007,255.270004,251.320007,251.320007,251.320007,549800
2015-08-21,249.220001,249.740005,237.740005,238.169998,238.169998,1257900
2015-08-24,234.039993,239.800003,226.050003,231.850006,231.850006,1393600
2015-08-25,236.880005,241.449997,231.470001,231.690002,231.690002,1385400
2015-08-26,237.009995,239.279999,230.990005,239.029999,239.029999,1127300
2015-08-27,240.759995,244.740005,238.759995,242.960007,242.960007,817800
2015-08-28,241.570007,244.039993,240.500000,240.990005,240.990005,620200
2015-08-31,239.779999,242.789993,239.410004,240.070007,240.070007,591300
2015-09-01,235.690002,239.000000,230.910004,231.539993,231.539993,1135200
2015-09-02,234.399994,239.830002,234.029999,239.660004,239.660004,901500
2015-09-03,241.139999,242.250000,237.070007,237.940002,237.940002,540600
