Date,Open,High,Low,Close,Adj Close,Volume
2016-01-04,41.860001,42.040001,41.119999,41.580002,39.462845,4936500
2016-01-05,41.660000,41.970001,41.459999,41.770000,39.643177,4372300
2016-01-06,40.919998,41.430000,40.639999,41.200001,39.102200,4812300
2016-01-07,40.259998,40.709999,39.430000,39.480000,37.469772,6482500
2016-01-08,40.220001,40.230000,38.820000,38.910000,36.928799,4535100
2016-01-11,39.299999,39.450001,38.360001,38.709999,36.738979,5057500
2016-01-12,39.459999,39.509998,38.610001,39.389999,37.384354,4401200
2016-01-13,39.689999,39.750000,37.980000,38.099998,36.160034,6758500
2016-01-14,38.400002,38.779999,37.750000,38.259998,36.311890,5855200
2016-01-15,37.139999,37.580002,36.639999,37.439999,35.533646,5314000
2016-01-19,37.990002,38.029999,36.779999,37.119999,35.229935,5104600
2016-01-20,36.070000,37.000000,35.279999,36.549999,34.688965,6347700
2016-01-21,36.500000,37.000000,35.919998,36.060001,34.223911,6400600
2016-01-22,36.639999,36.759998,35.110001,35.270000,33.474133,9779600
2016-01-25,35.139999,35.230000,34.049999,34.119999,32.382698,10558100
2016-01-26,34.310001,35.060001,34.200001,35.020000,33.236866,5523500
2016-01-27,34.810001,36.049999,34.740002,35.299999,33.502605,10959200
2016-01-28,35.459999,36.570000,35.349998,36.320000,34.470673,7898000
2016-01-29,36.430000,36.599998,35.720001,36.580002,34.717426,6991300
2016-02-01,36.290001,36.490002,35.889999,36.110001,34.271370,5041900
2016-02-02,35.360001,35.410000,34.189999,34.369999,32.619961,7322200
2016-02-03,34.740002,34.779999,33.230000,34.459999,32.705379,6760300
2016-02-04,34.450001,35.330002,34.299999,34.869999,33.094498,4355000
2016-02-05,34.950001,35.360001,34.169998,34.320000,32.572506,4398300
2016-02-08,33.720001,33.779999,32.130001,32.599998,30.940088,8374500
2016-02-09,31.900000,33.439999,31.820000,33.160000,31.471567,6034300
2016-02-10,33.529999,33.860001,32.840000,32.840000,31.167866,4996700
2016-02-11,31.760000,32.320000,31.070000,31.360001,29.763226,6923700
2016-02-12,32.209999,33.560001,32.139999,33.529999,31.822733,5503600
2016-02-16,34.160000,34.810001,33.660000,34.290001,32.544033,4770900
2016-02-17,34.790001,35.130001,34.330002,34.430000,32.676907,4002500
2016-02-18,34.590000,34.799999,33.610001,33.889999,32.164398,5467800
2016-02-19,33.790001,34.230000,33.549999,34.150002,32.411163,3696500
2016-02-22,34.529999,34.930000,34.480000,34.849998,33.075520,3623800
2016-02-23,34.660000,34.880001,33.610001,33.830002,32.107456,3718600
2016-02-24,33.060001,33.480000,32.450001,33.419998,31.944960,4846500
2016-02-25,33.619999,34.060001,33.459999,33.799999,32.308193,3908700
2016-02-26,34.180000,35.009998,33.980000,34.540001,33.015530,3897100
2016-02-29,34.400002,34.400002,33.180000,33.180000,31.715551,6878500
2016-03-01,33.540001,35.009998,33.450001,35.009998,33.464783,5430800
2016-03-02,35.060001,36.080002,34.970001,35.990002,34.401531,4839400
2016-03-03,35.880001,36.560001,35.869999,36.549999,34.936817,3431400
2016-03-04,36.919998,37.540001,36.730000,37.049999,35.414745,3833000
2016-03-07,36.770000,36.910000,36.430000,36.740002,35.118431,2975100
2016-03-08,36.400002,36.430000,35.340000,35.419998,33.856689,6687800
2016-03-09,35.790001,35.849998,34.790001,35.049999,33.503021,5976400
2016-03-10,35.400002,35.779999,34.889999,35.669998,34.095657,5811500
2016-03-11,36.070000,37.029999,35.990002,36.990002,35.357403,3597200
2016-03-14,36.770000,37.119999,36.630001,36.889999,35.261810,2598000
2016-03-15,36.389999,36.889999,36.310001,36.840000,35.214012,2270300
2016-03-16,36.689999,37.250000,36.040001,36.389999,34.783875,3483500
2016-03-17,36.250000,36.790001,35.750000,36.630001,35.013283,3256800
2016-03-18,37.000000,37.490002,36.790001,37.189999,35.548569,6853800
2016-03-21,37.009998,37.560001,36.799999,37.110001,35.472095,2382300
2016-03-22,36.880001,37.169998,36.619999,36.970001,35.338272,2585500
2016-03-23,36.950001,37.060001,36.599998,36.630001,35.013283,2761200
2016-03-24,36.169998,36.689999,35.759998,36.599998,34.984604,3311600
2016-03-28,36.639999,37.020000,36.419998,36.779999,35.156654,2223900
2016-03-29,36.480000,36.500000,35.750000,36.330002,34.726528,3124700
2016-03-30,36.520000,36.959999,36.220001,36.490002,34.879463,2393300
2016-03-31,36.470001,36.470001,35.810001,36.080002,34.487556,4406700
2016-04-01,35.980000,36.709999,35.419998,36.619999,35.003727,3786300
2016-04-04,36.590000,37.009998,36.330002,36.500000,34.889023,2864400
2016-04-05,36.040001,36.240002,35.709999,35.750000,34.172127,3942200
2016-04-06,35.630001,36.349998,35.430000,36.150002,34.554470,3617000
2016-04-07,35.639999,35.939999,35.099998,35.349998,33.789776,4805000
2016-04-08,35.770000,36.290001,35.529999,35.630001,34.057426,2636200
2016-04-11,35.820000,36.509998,35.790001,36.029999,34.439762,3354700
2016-04-12,36.110001,36.910000,36.110001,36.750000,35.127991,4804600
2016-04-13,37.250000,38.590000,37.200001,38.450001,36.752953,7032300
2016-04-14,38.340000,39.310001,38.340000,38.689999,36.982361,5046100
2016-04-15,38.770000,38.840000,38.279999,38.470001,36.772072,3767400
2016-04-18,38.200001,38.889999,38.080002,38.660000,36.953690,2684300
2016-04-19,38.779999,39.250000,38.689999,39.240002,37.508091,2768300
2016-04-20,39.400002,39.869999,39.160000,39.770000,38.014698,3356000
2016-04-21,39.869999,40.209999,39.709999,39.869999,38.110283,3415700
2016-04-22,40.810001,42.340000,40.730000,41.959999,40.108032,8225500
2016-04-25,41.950001,42.009998,41.220001,41.990002,40.136715,4259800
2016-04-26,41.980000,42.730000,41.770000,42.439999,40.566853,4830900
2016-04-27,42.599998,43.029999,42.070000,42.570000,40.691116,4908500
2016-04-28,42.090000,42.619999,41.840000,42.070000,40.213188,3501100
2016-04-29,41.759998,42.009998,41.459999,41.740002,39.897751,5413100
2016-05-02,42.049999,42.230000,41.500000,42.130001,40.270535,4709800
2016-05-03,41.430000,41.630001,41.090000,41.430000,39.601429,4402100
2016-05-04,40.810001,41.330002,40.240002,40.639999,38.846298,4572500
2016-05-05,40.500000,40.889999,40.150002,40.360001,38.578659,4795900
2016-05-06,40.080002,40.660000,39.910000,40.630001,38.836742,3038600
2016-05-09,40.459999,40.880001,40.060001,40.360001,38.578659,3815900
2016-05-10,40.709999,41.549999,40.610001,41.459999,39.630100,4813300
2016-05-11,41.209999,41.919998,40.810001,41.400002,39.572754,4434400
2016-05-12,41.630001,42.009998,40.939999,41.349998,39.524963,3830300
2016-05-13,41.240002,41.799999,40.389999,40.560001,38.769829,3034500
2016-05-16,40.619999,41.270000,40.570000,41.080002,39.266876,3332300
2016-05-17,40.919998,41.570000,40.590000,41.099998,39.285992,4016500
2016-05-18,41.060001,42.840000,40.910000,42.810001,40.920525,6091600
2016-05-19,42.480000,43.180000,42.099998,42.619999,40.738907,4997300
2016-05-20,42.919998,43.259998,42.360001,42.549999,40.671989,3909200
2016-05-23,42.549999,42.810001,41.970001,42.490002,40.614651,3653700
