Date,Open,High,Low,Close,Adj Close,Volume
2015-07-01,59.099998,59.389999,58.700001,58.910000,57.448727,625500
2015-07-02,58.900002,59.189999,58.490002,58.820000,57.360962,558700
2015-07-06,58.189999,58.720001,58.009998,58.570000,57.117161,652000
2015-07-07,58.450001,58.770000,57.830002,58.750000,57.292698,548400
2015-07-08,58.139999,58.380001,57.419998,57.529999,56.102955,607600
2015-07-09,58.189999,58.230000,57.709999,57.770000,56.337002,472100
2015-07-10,58.230000,58.880001,58.060001,58.750000,57.292698,539300
2015-07-13,59.150002,59.330002,58.860001,59.130001,57.663269,642700
2015-07-14,58.990002,59.459999,58.930000,59.439999,57.965584,404700
2015-07-15,59.540001,60.279999,59.279999,60.200001,58.706730,693500
2015-07-16,60.669998,60.950001,60.410000,60.930000,59.418613,536800
2015-07-17,60.830002,61.009998,60.250000,60.320000,58.823750,578100
2015-07-20,60.410000,60.540001,60.180000,60.380001,58.882263,451300
2015-07-21,60.430000,60.840000,60.160000,60.330002,58.833508,455600
2015-07-22,60.330002,60.700001,60.330002,60.520000,59.018791,399800
2015-07-23,60.560001,60.740002,59.910000,60.040001,58.550697,475300
2015-07-24,60.730000,62.660000,60.299999,62.160000,60.618122,1644000
2015-07-27,61.720001,61.919998,60.970001,61.209999,59.691673,731400
2015-07-28,59.540001,60.180000,55.619999,59.869999,58.384918,1226800
2015-07-29,59.869999,61.580002,59.709999,61.470001,59.945229,946000
2015-07-30,61.410000,61.980000,61.020000,61.790001,60.257290,758800
2015-07-31,61.799999,62.180000,61.029999,61.610001,60.081753,803700
2015-08-03,61.709999,62.459999,61.560001,62.320000,60.774143,754000
2015-08-04,62.400002,62.630001,62.189999,62.340000,60.793652,500900
2015-08-05,62.660000,62.950001,62.439999,62.689999,61.134968,477100
2015-08-06,62.740002,62.869999,61.869999,62.180000,60.637611,537500
2015-08-07,62.029999,62.360001,61.450001,61.970001,60.432831,713100
2015-08-10,62.419998,63.209999,62.419998,63.119999,61.554298,573700
2015-08-11,62.740002,63.259998,62.660000,62.860001,61.300747,526200
2015-08-12,62.410000,62.610001,61.540001,62.470001,60.920425,460000
2015-08-13,61.980000,62.720001,60.959999,62.200001,60.657116,1090600
2015-08-14,62.200001,62.730000,62.099998,62.500000,60.949684,614600
2015-08-17,62.209999,62.709999,61.580002,62.709999,61.154461,482500
2015-08-18,62.700001,62.880001,62.450001,62.630001,61.076454,480100
2015-08-19,62.369999,62.740002,61.849998,62.520000,60.969181,543700
2015-08-20,62.160000,62.189999,61.119999,61.130001,59.613663,638500
2015-08-21,60.610001,60.770000,59.340000,59.349998,57.877815,906200
2015-08-24,56.389999,58.230000,55.990002,56.430000,55.030243,1800400
2015-08-25,57.689999,57.799999,55.590000,55.619999,54.240337,1359700
2015-08-26,57.000000,57.790001,56.380001,57.549999,56.122463,1191500
2015-08-27,58.369999,59.220001,57.849998,58.820000,57.360962,1021600
2015-08-28,58.580002,59.700001,58.430000,58.919998,57.458481,801100
2015-08-31,58.590000,58.849998,58.310001,58.459999,57.009884,749200
2015-09-01,57.310001,57.810001,56.459999,56.669998,55.264290,734800
2015-09-02,57.299999,57.450001,56.680000,57.430000,56.005444,477000
