Date,Open,High,Low,Close,Adj Close,Volume
2016-01-04,110.709999,110.959999,108.730003,109.970001,104.520699,2846000
2016-01-05,109.919998,110.730003,109.540001,110.470001,104.995918,1870400
2016-01-06,109.339996,109.790001,108.570000,109.040001,103.636765,1730900
2016-01-07,107.500000,108.440002,106.029999,106.440002,101.165619,2284400
2016-01-08,107.010002,107.440002,105.830002,105.989998,100.737900,1984500
2016-01-11,106.470001,107.279999,105.620003,106.790001,101.498268,1549700
2016-01-12,107.690002,108.199997,106.589996,107.980003,102.629318,2116000
2016-01-13,108.269997,108.830002,105.830002,106.059998,100.804436,2881400
2016-01-14,105.940002,108.010002,105.830002,106.980003,101.678856,1919000
2016-01-15,103.279999,105.730003,103.279999,105.099998,99.892014,2532400
2016-01-19,106.610001,106.669998,105.279999,105.760002,100.519310,2459600
2016-01-20,104.889999,104.949997,102.680000,103.650002,98.513863,3320400
2016-01-21,103.860001,105.099998,101.230003,102.699997,97.610931,3184000
2016-01-22,103.629997,103.900002,102.080002,103.139999,98.029129,2483700
2016-01-25,102.529999,103.400002,101.550003,102.080002,97.021660,2930000
2016-01-26,102.260002,104.000000,102.180000,103.250000,98.133682,2018200
2016-01-27,103.070000,104.750000,102.730003,103.309998,98.190720,1694500
2016-01-28,103.790001,104.820000,103.040001,104.470001,99.293221,1391400
2016-01-29,105.279999,107.070000,104.970001,107.040001,101.735878,2195900
2016-02-01,106.790001,107.349998,106.169998,107.010002,101.707367,1843800
2016-02-02,105.500000,106.440002,105.500000,106.029999,100.775940,1730200
2016-02-03,106.349998,107.510002,104.739998,106.889999,101.593315,2085000
2016-02-04,106.760002,107.570000,106.589996,107.489998,102.163574,1580200
2016-02-05,107.489998,108.000000,106.010002,106.290001,101.023041,2756600
2016-02-08,105.180000,106.000000,103.930000,105.599998,100.367226,3409300
2016-02-09,103.949997,106.139999,103.769997,105.919998,100.671371,1864900
2016-02-10,106.349998,107.650002,105.599998,105.720001,100.481285,1584500
2016-02-11,103.730003,104.559998,103.070000,103.769997,98.627914,2544600
2016-02-12,104.820000,107.580002,104.180000,107.489998,102.163574,2095900
2016-02-16,108.269997,108.500000,106.610001,107.370003,102.049522,2322300
2016-02-17,108.000000,109.260002,107.629997,109.180000,103.769836,1913800
2016-02-18,109.010002,109.250000,108.580002,108.849998,103.456192,1678100
2016-02-19,108.559998,108.720001,107.830002,108.089996,102.733833,1682500
2016-02-22,109.419998,109.529999,108.489998,109.349998,103.931404,2280700
2016-02-23,108.639999,108.809998,107.629997,107.910004,102.562775,1523100
2016-02-24,107.300003,108.800003,106.669998,108.480003,103.104530,1521900
2016-02-25,108.790001,109.269997,108.220001,109.269997,103.855362,1389900
2016-02-26,109.599998,109.800003,108.250000,108.459999,103.085510,1807700
2016-02-29,108.459999,108.720001,107.389999,107.519997,102.192093,2923000
2016-03-01,108.129997,110.129997,108.040001,110.129997,104.672768,1651900
2016-03-02,110.059998,110.440002,109.680000,110.199997,104.739288,1521000
2016-03-03,109.919998,110.279999,108.629997,109.800003,104.359123,1811500
2016-03-04,110.379997,110.589996,109.059998,110.400002,104.929382,1372900
2016-03-07,110.019997,110.489998,109.559998,110.410004,104.938889,1227000
2016-03-08,109.459999,111.580002,109.459999,110.849998,105.942398,1891900
2016-03-09,111.500000,111.699997,110.830002,111.330002,106.401154,1452000
