Date,Open,High,Low,Close,Adj Close,Volume
2016-01-04,117.459999,119.190002,116.500000,117.919998,117.020554,682600
2016-01-05,118.559998,120.250000,118.180000,118.430000,117.526665,703300
2016-01-06,116.680000,117.570000,114.120003,115.699997,114.817490,1077500
2016-01-07,113.449997,115.160004,112.300003,112.900002,112.038841,757700
2016-01-08,113.269997,115.820000,112.050003,112.379997,111.522812,750700
2016-01-11,114.180000,117.830002,112.919998,114.459999,113.586960,1066700
2016-01-12,115.410004,117.500000,110.099998,112.300003,111.443420,750100
2016-01-13,112.400002,113.400002,107.919998,109.099998,108.267838,1275800
2016-01-14,109.309998,112.050003,109.000000,111.180000,110.331963,869900
2016-01-15,108.830002,110.800003,107.120003,109.169998,108.337288,1084800
2016-01-19,110.410004,110.589996,105.680000,107.370003,106.551033,1110800
2016-01-20,105.760002,108.489998,103.570000,107.389999,106.570877,1016000
2016-01-21,107.769997,110.160004,106.050003,106.949997,106.134224,754700
2016-01-22,107.599998,108.529999,105.879997,107.519997,106.699875,820800
2016-01-25,107.250000,109.410004,107.250000,108.459999,107.632721,637100
2016-01-26,108.779999,112.599998,108.550003,111.900002,111.046471,741500
2016-01-27,111.760002,113.699997,110.400002,111.080002,110.232735,615900
2016-01-28,112.790001,113.870003,107.489998,108.019997,107.196060,713800
2016-01-29,108.279999,112.849998,108.029999,112.639999,111.780823,714300
2016-02-01,112.279999,115.800003,111.980003,115.070000,114.192291,730100
2016-02-02,113.500000,113.550003,111.589996,112.099998,111.244949,552300
2016-02-03,112.910004,113.290001,109.110001,111.580002,110.728905,595400
2016-02-04,111.209999,113.029999,109.480003,111.849998,110.996857,527700
2016-02-05,111.220001,111.989998,108.260002,109.040001,108.208290,641300
2016-02-08,107.040001,107.559998,103.510002,104.470001,103.673141,660500
2016-02-09,103.290001,106.360001,102.989998,105.519997,104.715134,562400
2016-02-10,106.440002,110.680000,106.230003,108.989998,108.158669,716800
2016-02-11,107.290001,108.040001,101.559998,101.650002,100.874657,1178100
2016-02-12,102.430000,104.500000,100.820000,104.260002,103.464745,748200
2016-02-16,101.000000,106.250000,100.989998,106.099998,105.290718,1406200
2016-02-17,107.169998,109.180000,106.589996,107.739998,106.918198,1164100
2016-02-18,108.129997,108.800003,107.099998,107.320000,106.501411,760800
2016-02-19,107.419998,107.419998,105.029999,106.989998,106.173935,1621400
2016-02-22,108.059998,110.440002,108.059998,110.029999,109.190735,745400
2016-02-23,109.769997,110.870003,107.559998,109.730003,108.893036,600200
2016-02-24,108.580002,110.809998,107.709999,110.660004,109.815933,535400
2016-02-25,111.269997,112.919998,108.820000,111.279999,110.431206,865700
2016-02-26,107.900002,117.500000,106.690002,113.339996,112.576653,1425900
2016-02-29,112.879997,113.080002,110.370003,110.370003,109.626671,1131200
2016-03-01,110.830002,114.070000,109.279999,113.750000,112.983902,968900
2016-03-02,113.949997,115.519997,113.199997,115.360001,114.583046,848800
2016-03-03,115.500000,119.199997,115.120003,117.500000,116.708649,802700
2016-03-04,117.709999,117.870003,115.430000,115.540001,114.761848,948100
2016-03-07,114.580002,115.169998,113.620003,114.389999,113.619583,828400
2016-03-08,113.480003,114.400002,111.379997,111.820000,111.066895,921700
2016-03-09,112.660004,113.099998,110.730003,113.010002,112.248886,540400
2016-03-10,113.470001,115.019997,112.000000,112.949997,112.189293,696000
2016-03-11,114.139999,115.949997,113.339996,115.690002,114.910835,762900
2016-03-14,115.209999,116.250000,114.620003,115.389999,114.612854,434100
2016-03-15,114.290001,114.699997,111.690002,112.089996,111.335083,476500
2016-03-16,111.820000,114.389999,111.599998,113.720001,112.954102,479500
2016-03-17,113.330002,114.389999,111.650002,113.739998,112.973961,647200
2016-03-18,113.970001,117.110001,113.660004,116.650002,115.864372,999200
2016-03-21,117.550003,118.309998,115.360001,116.610001,115.824638,579900
2016-03-22,115.940002,120.080002,115.230003,118.910004,118.109154,792200
2016-03-23,119.110001,121.639999,118.190002,118.620003,117.821091,588200
2016-03-24,117.639999,119.050003,116.000000,117.910004,117.115891,466500
2016-03-28,118.370003,120.040001,117.650002,119.150002,118.347534,572100
2016-03-29,121.150002,124.099998,120.139999,123.910004,123.075470,1007100
2016-03-30,124.570000,126.669998,123.669998,125.330002,124.485909,906600
2016-03-31,124.949997,126.669998,124.419998,124.720001,123.880020,1024900
2016-04-01,123.419998,125.529999,122.989998,125.389999,124.545502,998200
2016-04-04,125.309998,125.870003,123.790001,124.669998,123.830353,764900
2016-04-05,123.500000,124.139999,122.570000,122.680000,121.853760,616500
