Date,Open,High,Low,Close,Adj Close,Volume
2015-07-01,38.259998,38.470001,37.799999,37.970001,35.550190,4741800
2015-07-02,38.209999,38.230000,37.660000,37.750000,35.344215,2879600
2015-07-06,37.430000,37.900002,37.380001,37.700001,35.297394,2654300
2015-07-07,37.669998,37.889999,37.400002,37.849998,35.437840,2602300
2015-07-08,37.880001,37.880001,37.279999,37.360001,34.979061,2586800
2015-07-09,37.889999,38.360001,37.130001,37.380001,34.997795,3933600
2015-07-10,37.740002,38.290001,37.650002,37.959999,35.540829,1893800
2015-07-13,38.080002,38.369999,37.990002,38.139999,35.709358,2485400
2015-07-14,38.009998,38.410000,38.009998,38.380001,35.934059,2228500
2015-07-15,38.279999,38.450001,38.189999,38.299999,35.859161,1664600
2015-07-16,38.389999,38.570000,38.139999,38.240002,35.802982,1384900
2015-07-17,38.099998,38.240002,37.950001,38.060001,35.634453,1932000
2015-07-20,38.070000,38.200001,37.830002,37.939999,35.522102,1460700
2015-07-21,37.959999,38.090000,37.639999,37.759998,35.353577,1726300
2015-07-22,37.560001,38.009998,37.549999,37.790001,35.381668,2119800
2015-07-23,37.660000,37.880001,37.660000,37.770000,35.362942,2051600
2015-07-24,37.799999,37.959999,37.590000,37.779999,35.372303,1863000
2015-07-27,37.560001,38.029999,37.529999,37.880001,35.465931,3369200
2015-07-28,37.669998,38.250000,37.669998,37.869999,35.456558,2138000
2015-07-29,37.490002,38.040001,37.400002,37.959999,35.540829,3350600
2015-07-30,37.959999,38.500000,37.910000,38.400002,35.952785,2905200
2015-07-31,38.470001,38.660000,38.009998,38.020000,35.597004,2647500
2015-08-03,38.189999,38.240002,37.770000,38.189999,35.756172,3880500
2015-08-04,38.990002,39.560001,38.639999,38.669998,36.205585,4634700
2015-08-05,38.810001,39.040001,38.730000,38.860001,36.383469,2789700
2015-08-06,38.889999,39.099998,38.580002,38.849998,36.374096,2929900
2015-08-07,38.759998,39.240002,38.669998,38.970001,36.486462,2869300
2015-08-10,39.000000,39.340000,38.990002,39.330002,36.823517,2262000
2015-08-11,39.560001,39.759998,39.290001,39.700001,37.169933,3044900
