Date,Open,High,Low,Close,Adj Close,Volume
2015-07-01,48.750000,49.040001,47.830002,48.430000,47.364635,5532100
2015-07-02,48.599998,48.660000,47.889999,48.310001,47.247272,2070900
2015-07-06,48.040001,48.400002,47.770000,48.400002,47.335300,3088100
2015-07-07,48.540001,48.779999,47.099998,47.880001,46.826733,5656200
2015-07-08,47.349998,47.430000,46.459999,46.480000,45.457539,3452800
2015-07-09,47.110001,47.369999,46.560001,46.570000,45.545555,3417400
2015-07-10,47.000000,47.189999,46.820000,46.959999,45.926975,2917500
2015-07-13,47.099998,47.439999,46.840000,47.040001,46.005215,3050000
2015-07-14,47.040001,47.560001,46.279999,47.459999,46.415974,5636300
2015-07-15,47.500000,47.630001,47.009998,47.110001,46.073673,2099400
2015-07-16,47.389999,48.220001,47.389999,48.000000,46.944099,3423500
2015-07-17,48.000000,48.299999,47.720001,47.799999,46.748497,2324000
2015-07-20,48.099998,49.029999,48.020000,48.980000,47.902542,3364200
2015-07-21,49.700001,49.750000,48.930000,49.119999,48.039452,4412700
2015-07-22,49.049999,50.060001,49.020000,50.020000,48.919662,2937300
2015-07-23,49.959999,50.389999,49.509998,49.849998,48.753403,2457900
2015-07-24,49.900002,50.299999,49.330002,49.490002,48.401321,2081000
2015-07-27,49.389999,49.570000,48.770000,49.480000,48.391544,1683500
2015-07-28,49.520000,49.570000,48.169998,48.849998,47.775402,4846300
2015-07-29,49.099998,49.160000,47.869999,48.400002,47.335300,3629900
2015-07-30,47.959999,48.720001,47.959999,48.549999,47.481998,1576800
2015-07-31,48.820000,49.450001,48.740002,48.980000,47.902542,2539800
2015-08-03,49.160000,49.490002,47.990002,48.480000,47.413540,3559500
2015-08-04,49.110001,50.000000,48.279999,48.849998,47.775402,4867300
2015-08-05,48.950001,49.119999,48.520000,48.610001,47.540684,4118200
2015-08-06,49.560001,50.250000,47.970001,48.279999,47.217937,3223400
2015-08-07,48.119999,48.470001,47.439999,48.310001,47.247272,3466000
2015-08-10,48.500000,49.090000,48.279999,48.389999,47.325516,3064500
2015-08-11,48.070000,48.540001,47.840000,48.209999,47.230488,1794100
2015-08-12,47.900002,48.080002,46.880001,47.860001,46.887608,3520300
2015-08-13,47.820000,48.380001,47.599998,47.660000,46.691662,2574800
2015-08-14,47.650002,47.650002,46.939999,47.470001,46.505524,2565400
2015-08-17,47.299999,48.709999,47.259998,48.689999,47.700733,1849600
2015-08-18,48.590000,48.779999,47.689999,47.730000,46.760246,2847800
2015-08-19,47.450001,48.180000,47.220001,47.910000,46.936588,2153500
2015-08-20,47.360001,47.680000,46.279999,46.380001,45.437668,2515600
2015-08-21,45.849998,46.320000,45.009998,45.020000,44.105305,3775200
2015-08-24,42.509998,44.970001,37.730000,43.529999,42.645576,5725500
2015-08-25,44.590000,44.840000,42.560001,42.560001,41.695290,3814300
2015-08-26,43.549999,44.330002,41.990002,44.250000,43.350945,5873300
2015-08-27,44.709999,46.150002,44.110001,45.860001,44.928234,4602100
2015-08-28,46.009998,46.130001,45.060001,45.779999,44.849861,2711400
2015-08-31,45.740002,45.910000,44.770000,44.869999,43.958351,2557600
2015-09-01,43.950001,44.889999,43.779999,43.980000,43.086430,4346100
2015-09-02,44.520000,45.160000,43.900002,45.119999,44.203274,2699700
2015-09-03,45.320000,45.619999,44.320000,44.529999,43.625256,2932500
2015-09-04,43.970001,44.730000,43.529999,44.009998,43.115822,4195500
2015-09-08,44.720001,44.939999,43.820000,44.889999,43.977940,4134900
2015-09-09,45.180000,45.259998,43.849998,43.950001,43.057034,2905300
2015-09-10,43.930000,44.930000,43.799999,44.340000,43.439117,2871200
2015-09-11,44.599998,45.130001,44.119999,45.000000,44.085709,2476200
2015-09-14,44.869999,45.000000,44.189999,44.470001,43.566483,2182200
2015-09-15,44.700001,45.130001,44.480000,45.060001,44.144489,1949000
2015-09-16,44.790001,44.849998,43.700001,44.509998,43.605656,4242600
2015-09-17,44.750000,46.630001,44.750000,46.009998,45.075188,5470500
2015-09-18,45.310001,45.700001,44.900002,45.119999,44.203274,7969300
2015-09-21,45.279999,45.570000,44.110001,44.500000,43.595867,2502700
2015-09-22,44.009998,44.520000,43.740002,44.230000,43.331356,2368400
2015-09-23,44.200001,44.660000,43.990002,44.320000,43.419525,1802500
2015-09-24,44.130001,44.200001,43.009998,43.590000,42.704353,3202000
2015-09-25,44.110001,44.139999,41.880001,42.509998,41.646301,3498000
2015-09-28,42.270000,42.299999,39.380001,39.959999,39.148106,8954900
2015-09-29,40.299999,40.770000,38.980000,39.650002,38.844410,7328400
2015-09-30,40.630001,41.220001,40.349998,41.180000,40.343319,4908500
2015-10-01,41.070000,41.340000,40.369999,41.290001,40.451084,4131800
2015-10-02,40.630001,43.040001,40.490002,43.020000,42.145943,4036800
2015-10-05,43.150002,43.389999,42.349998,42.849998,41.979389,5467700
2015-10-06,42.779999,43.099998,41.189999,41.389999,40.549049,4622200
2015-10-07,41.590000,42.709999,41.230000,42.669998,41.803047,4157200
2015-10-08,42.560001,43.400002,41.980000,43.220001,42.341873,4434600
2015-10-09,43.110001,43.310001,42.770000,42.799999,41.930405,2863000
2015-10-12,42.880001,43.070000,42.430000,42.709999,41.842236,2848100
